"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Jonathan Barnato","K1",2000,"Men",512,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Miles Cross-Whiter","K1",2000,"Men",527,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Payton Chiou","K1",2000,"Men",532,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Nate Errez","K1",2000,"Men",545,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jack Capper","K1",2000,"Men",570,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Justin Barker","K1",2000,"Men",570,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Cameron Bartlett","K1",2000,"Men",570,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Elena Wolgamot","K1",2000,"Women",570,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Ana Swetish","K1",2000,"Women",570,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Kyle Field","K1",2000,"Men",579,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Alec Denny","K1",2000,"Men",590,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Ryan Grady","C1",2000,"Men",594,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Ethan Caskey","K1",2000,"Men",600,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jackson Plymale","K1",2000,"Men",600,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jonas Ecker","K1",2000,"Men",600,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Justin Rowntree","K1",2000,"Men",605,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Aaron Small","K1",2000,"Men",625,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Milan Gauthier","K1",2000,"Women",630,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Sierra Noskoff","K1",2000,"Women",630,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jakob Tayman","C1",2000,"Men",630,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Abby Scoggins","K1",2000,"Women",635,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Trisha Martinson","K1",2000,"Women",642,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Emma McCoy","K1",2000,"Women",660,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jerry Chen","K1",2000,"Men",661,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Liam Jennings","K1",2000,"Men",670,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Martin Withington","K1",2000,"Men",690,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Chayse Gauthier","K1",2000,"Men",690,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Azusa Murphy","C1",2000,"Women",708,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Talia Clarke","K1",2000,"Women",720,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Jonathan Grady","C1",2000,"Men",735,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Neha Harle","K1",2000,"Women",750,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Andreea Ghizila","C1",2000,"Women",750,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Ben Gregory","C1",2000,"Men",765,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Steve Price","K1",2000,"Men",780,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Leana Girton","K1",2000,"Women",807,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Nevin Harrison","C1",2000,"Women",807,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Drew Huston","C1",2000,"Men",840,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Danzig Norberg","K1",2000,"Men",870,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Oliver Farquhar","C1",2000,"Men",877,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Hana Neutz","C1",2000,"Women",880,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Naomi Prahl","C1",2000,"Women",880,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Anna Martinson","C1",2000,"Women",929,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Sarah Grady","C1",2000,"Women",929,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
"Julian Shah","K1",2000,"Men",985,"Final","NA","Open","Frostbite 2016",11,10,2015,"no","with turn","SCKC Frostbite Training Camp","NA"
