"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aaron Small","K1",2000,"Men",572.47,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Abby Scoggins","K1",2000,"Women",625.43,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Ana Swetish","K1",2000,"Women",608.67,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Andreea Ghizila","C1",2000,"Women",678,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Camille Neutz","K1",2000,"Women",760,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Chauncey Bevin","K1",2000,"Men",574.08,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Chayse Gauthier","K1",2000,"Men",650,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Colin McMullen","K1",2000,"Men",571.1,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Dylan Boeholt","K1",2000,"Men",614,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Einar Ogle","K1",2000,"Men",772,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Elena Wolgamot","K1",2000,"Women",585.63,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Ella Bloomquist","K1",2000,"Women",781,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Eric McCluskey","K1",2000,"Men",622.91,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Evan Truesdale","K1",2000,"Men",542.03,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Gus Cook","K1",2000,"Men",551.35,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Irissa Danke","K1",2000,"Women",631.55,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Jackson Plymale","K1",2000,"Men",574.17,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Jake Zikan","K1",2000,"Men",557.69,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Jonas Ecker","K1",2000,"Men",623.06,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Jonathan Grady","C1",2000,"Men",612.4,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Kyle Field","K1",2000,"Men",575.57,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Leana Girton","K1",2000,"Women",686,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Liam Jennings","K1",2000,"Men",589.21,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Milan Gauthier","K1",2000,"Women",612.28,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Owen Chiou","K1",2000,"Men",629.36,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Owen Jennings","K1",2000,"Men",787,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Owen White","K1",2000,"Men",753,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Petri Alva","K1",2000,"Men",635,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Philip Majumdar","K1",2000,"Men",645,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Sierra Noskoff","K1",2000,"Women",611.58,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Vaughn Schenk","K1",2000,"Men",712,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
"Wilson Reavley","K1",2000,"Men",638,"final","NA","NA","Frostbite 2017",11,10,2017,"no","with turn","NA","NA"
