name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Nevin Harrison,C1,2000,Women,685,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Lia Gaetano,C1,2000,Women,695,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Andreea Ghizila,C1,2000,Women,717,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Natalie Brunson,C1,2000,Women,763,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Meisi Settle,C1,2000,Women,785,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Zoe Hein,C1,2000,Women,802,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Emma Albrecht,C1,2000,Women,832,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Hana Neutz,C1,2000,Women,882,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Stella DeSantis,C1,2000,Women,882,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Naomi Prahl,C1,2000,Women,906,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Sadie Hanks,C1,2000,Women,935,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Ella Blanck,C1,2000,Women,1074,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Sarah Grady,C1,2000,Women,NA,final,DNS,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jonathan Grady,C1,2000,Men,595,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Camden Sexton,C1,2000,Men,645,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Sean Talbert,C1,2000,Men,666,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Oliver Farquhar,C1,2000,Men,671,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Benji Blanck,C1,2000,Men,734,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Drew Huston,C1,2000,Men,738,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Weston Hester,C1,2000,Men,756,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jake Galvan,C1,2000,Men,785,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Grant Huston,C1,2000,Men,855,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Augustus Cook,K1,2000,Men,558,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Ashby Bodine,K1,2000,Men,567,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jasper Caddell,K1,2000,Men,574,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Aaron Small,K1,2000,Men,577,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Colin McMullen,K1,2000,Men,582,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Liam Jennings,K1,2000,Men,598,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jake Zikan,K1,2000,Men,607,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Petri Alva,K1,2000,Men,611,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Wilson Reavley,K1,2000,Men,622,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jackson Plymale,K1,2000,Men,622,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Cole Jones,K1,2000,Men,626,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Vaughn Schenk,K1,2000,Men,631,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Kyle Field,K1,2000,Men,632,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Dylan Anacleto-Black,K1,2000,Men,641,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Abby Scoggins,K1,2000,Men,643,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Kasen Taylor,K1,2000,Men,651,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Jacob Eash,K1,2000,Men,652,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Elena Wolgamot,K1,2000,Men,654,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Kali Wilding,K1,2000,Men,657,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Dylan Boeholt,K1,2000,Men,661,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Ethan Vasquez,K1,2000,Men,689,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Sierra Noskoff,K1,2000,Men,704,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Kitsy Nipper,K1,2000,Men,721,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Trisha Martinson,K1,2000,Men,723,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Parker Amano,K1,2000,Men,726,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
Samantha Nelson,K1,2000,Men,735,final,NA,NA,Frostbite 2018,11,10,2018,no,with turn,NA,NA
