"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Hannah Nord","K1",1000,"Women",308.11,"Heat","1","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Molly Timmons","K1",1000,"Women",310.23,"Heat","2","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Bailey Nurmia","K1",1000,"Women",316.02,"Heat","3","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Sara Rucci","K1",1000,"Women",344.16,"Heat","4","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Mia Wrey","K1",1000,"Women",382.29,"Heat","5","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Hannah Corsa","K1",1000,"Women",NA,"Heat","DNF","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","2 Event #217: K-1 W Ban 1000 Heat 2"
"Avery Unterreiner","K1",1000,"Women",307.62,"Heat","1","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Eva Munday","K1",1000,"Women",322.45,"Heat","2","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Quinn Fredrickson","K1",1000,"Women",339.91,"Heat","3","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Lani Chapko","K1",1000,"Women",347.58,"Heat","4","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Toni Ray","K1",1000,"Women",371.3,"Heat","5","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Stephanie King","K1",1000,"Women",379.99,"Heat","6","Bantam","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","3 Event #217: K-1 W Ban 1000 Heat 3"
"Dion Maxwell","K1",1000,"Men",261.96,"Heat","1","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Mike Van Meel","K1",1000,"Men",307.08,"Heat","2","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Brent Couvrette","K1",1000,"Men",313.34,"Heat","3","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Greg Bauden","K1",1000,"Men",318.07,"Heat","4","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Jim Erickson","K1",1000,"Men",NA,"Heat","SCR","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Daryl Remmler","K1",1000,"Men",NA,"Heat","SCR","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","4 Event #204: K-1 M Mas/Open 1000 Heat 1"
"Cedric Bond","K1",1000,"Men",251.8,"Heat","1","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
"Andre Polyektov","K1",1000,"Men",259.78,"Heat","2","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
"Juraj Osusky","K1",1000,"Men",262.06,"Heat","3","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
"Steve Wort","K1",1000,"Men",310.76,"Heat","4","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
"Karol Osusky","K1",1000,"Men",321.41,"Heat","5","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
"Jack Lincke","K1",1000,"Men",329.15,"Heat","6","Mas","Houk 2008",6,14,2008,"yes"," ","Ted Houk Memorial Regatta","5 Event #204: K-1 M Mas/Open 1000 Heat 2"
