name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Adam Vetter; Danylo Korsei,C2,200,Men,54,Heat,1,U13,Pacific Cup 2018,9,9,2018,yes,FCSCC,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Andrew Thom; Carson Ko,C2,200,Men,74.64,Heat,2,U13,Pacific Cup 2018,9,9,2018,yes,BCKC,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Connor Peterson; Weston Hester,C2,200,Men,78.99,Heat,3,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Aadhithyan Nandakumar; Kaleb Parry,C2,200,Men,91.58,Heat,4,U13,Pacific Cup 2018,9,9,2018,yes,CCKC/FN,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Kai Auger; Will Day,C2,200,Men,92.23,Heat,5,U13,Pacific Cup 2018,9,9,2018,yes,PCA,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Ben Williams; Ken Deibert,C2,200,Men,96.94,Heat,6,U13,Pacific Cup 2018,9,9,2018,yes,FCKC,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Genji Hirano; Kristian McIntosh,C2,200,Men,136.03,Heat,7,U13,Pacific Cup 2018,9,9,2018,yes,RCKC,,8:30  U13 Men's C-2 200m - Heat #1  Event #1
Iain St. Arnault; Noah MacMartin,C2,200,Men,63.04,Heat,1,U13,Pacific Cup 2018,9,9,2018,yes,FCSCC,,8:35  U13 Men's C-2 200m - Heat #2  Event #2
Alex Smith; Sam Fasullo,C2,200,Men,81.54,Heat,2,U13,Pacific Cup 2018,9,9,2018,yes,FCKC,,8:35  U13 Men's C-2 200m - Heat #2  Event #2
Ellis Adamson; Grant Huston,C2,200,Men,92.5,Heat,3,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:35  U13 Men's C-2 200m - Heat #2  Event #2
Einar Ogle; Owen Jennings,C2,200,Men,96.17,Heat,4,U13,Pacific Cup 2018,9,9,2018,yes,SCKC,,8:35  U13 Men's C-2 200m - Heat #2  Event #2
Luka Shcherbyna; Tomoki MacMartin,C2,200,Men,97.77,Heat,5,U13,Pacific Cup 2018,9,9,2018,yes,FCSCC,,8:35  U13 Men's C-2 200m - Heat #2  Event #2
Abbie Scoggins; Mia Clarke,K2,200,Women,50.8,Heat,1,U13,Pacific Cup 2018,9,9,2018,yes,BHAM,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Aurora Ohr; Zoe Libner,K2,200,Women,55.41,Heat,2,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Holly Adam; Jaime Pady,K2,200,Women,65.72,Heat,3,U13,Pacific Cup 2018,9,9,2018,yes,NCKC,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Elizabeth Clark; Lucia Neuls,K2,200,Women,66.2,Heat,4,U13,Pacific Cup 2018,9,9,2018,yes,KCKC,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Mara BroganMo Petersen,K2,200,Women,68.7,Heat,5,U13,Pacific Cup 2018,9,9,2018,yes,BHAM,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Blossom Brogan; Sally Greenwood,K2,200,Women,69.1,Heat,6,U13,Pacific Cup 2018,9,9,2018,yes,BHAM,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Ella Moreau; Sophia Joe,K2,200,Women,72.7,Heat,7,U13,Pacific Cup 2018,9,9,2018,yes,CRCC,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Aurora Kahlert; Emerson Hugill,K2,200,Women,83.75,Heat,8,U13,Pacific Cup 2018,9,9,2018,yes,RCKC,,8:40  U13 Women's K-2 200m - Heat #1  Event #3
Moyo Alabi; Niamh Gibbons,K2,200,Women,57.49,Heat,1,U13,Pacific Cup 2018,9,9,2018,yes,NCKC,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Abigail Clark; Reagan Guajardo,K2,200,Women,63.28,Heat,2,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Araya Berdinka; Erica Mao,K2,200,Women,66.83,Heat,3,U13,Pacific Cup 2018,9,9,2018,yes,BHAM,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Lana Weigelt; Sophia Sturiano,K2,200,Women,77.36,Heat,4,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Emma Bateman; Francesca Chen,K2,200,Women,79.24,Heat,5,U13,Pacific Cup 2018,9,9,2018,yes,FCSCC,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Charlotte Radcliff; Komal Gill,K2,200,Women,79.78,Heat,6,U13,Pacific Cup 2018,9,9,2018,yes,GIG,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Caitlin Jennings; Elizah DeMartini,K2,200,Women,80.33,Heat,7,U13,Pacific Cup 2018,9,9,2018,yes,SCKC,,8:45  U13 Women's K-2 200m - Heat #2  Event #4
Bryant Kelleway; Carter Hugill,K2,200,Men,44.36,Heat,1,U15,Pacific Cup 2018,9,9,2018,yes,RCKC,,8:50  U15 Men's K-2 200m - Heat #1  Event #5
Kieran Nott; Landon Drain,K2,200,Men,44.67,Heat,2,U15,Pacific Cup 2018,9,9,2018,yes,PCA,,8:50  U15 Men's K-2 200m - Heat #1  Event #5
Jackson Ali; Ryan Yao,K2,200,Men,47.01,Heat,3,U15,Pacific Cup 2018,9,9,2018,yes,NCKC,,8:50  U15 Men's K-2 200m - Heat #1  Event #5
