name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Sandra Sorescu; Julianna Won,K2,500,Women,128.99,Final,1,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Danielle Caron; Isobel Glover,K2,500,Women,130.27,Final,2,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Natasha Dietz; Taite Stewart,K2,500,Women,141.62,Final,3,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Meghan Cheung; Mackenzie Read,K2,500,Women,144.11,Final,4,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Irissa Danke; Yukiko Saburi,K2,500,Women,145.46,Final,5,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Margaret Buzard; Sakura Chino,K2,500,Women,146.81,Final,6,U18,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U18 Women K2 500m
Miles Cross-Whiter,K1,500,Men,123.58,Final,1,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Matthew Koehler,K1,500,Men,135.21,Final,2,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Nathaniel Errez,K1,500,Men,139.34,Final,3,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Cameron Antifave,K1,500,Men,140.87,Final,4,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Nicky Dann,K1,500,Men,161.93,Final,5,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Aaron Small,K1,500,Men,186.62,Final,6,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Sam Guerrerio,K1,500,Men,202.78,Final,7,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 1
Justin Won,K1,500,Men,128.18,Final,1,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Jeff Jiang,K1,500,Men,146.68,Final,2,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Alec Denny,K1,500,Men,156.46,Final,3,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Aidan Denny,K1,500,Men,156.81,Final,4,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Tyler Demidoff,K1,500,Men,171.58,Final,5,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Reef Gladwin,K1,500,Men,191.78,Final,6,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Jerry Chen,K1,500,Men,195.74,Final,7,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Jason Kim,K1,500,Men,207.11,Final,8,U15,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,U15 Men K1 500m HEAT 2
Lani Chapko,K1,500,Women,136.29,Final,1,Open,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,Open Women K1 500m
Tessa Nagai,K1,500,Women,136.69,Final,2,Open,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,Open Women K1 500m
Natasha Dietz,K1,500,Women,148.31,Final,3,Open,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,Open Women K1 500m
Kathy Nay,K1,500,Women,160.06,Final,4,Open,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,Open Women K1 500m
Ashley Rowe,K1,500,Women,160.68,Final,5,Open,Slawko 2013,5,1,2013,yes,,Slawko Memorial Season Opener,Open Women K1 500m
