name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Jake Zikan,K1,200,Men,51,time-trial,,,Time Trial 2015,7,1,2015,no,,NA,NA
Jake Zikan,K1,200,Men,51.35,time-trial,,,Time Trial 2015,7,1,2015,no,,NA,NA
Jake Zikan,K1,200,Men,53,time-trial,,,Time Trial 2015,7,1,2015,no,,NA,NA
Jake Zikan,K1,1000,Men,282,time-trial,,,Time Trial 2015,7,1,2015,no,,NA,NA
Jake Zikan,K1,1000,Men,285,time-trial,,,Time Trial 2015,7,1,2015,no,,NA,NA
Jake Zikan,K1,200,Men,47,time-trial,,,Time Trial 2016,7,1,2016,no,,NA,NA
Jake Zikan,K1,1000,Men,281,time-trial,,,Time Trial 2016,7,1,2016,no,,NA,NA
Liam Jennings,K1,2000,Men,674,time-trial,,,Time Trial 2017,3,4,2017,no,with turn,NA,NA
Liam Jennings,K1,2000,Men,685,time-trial,,,Time Trial 2017,3,4,2017,no,with turn,NA,NA
Liam Jennings,K1,2000,Men,695,time-trial,,,Time Trial 2017,3,4,2017,no,with turn,NA,NA
Einar Ogle,K1,200,Men,74,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Einar Ogle,K1,500,Men,199,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Einar Ogle,K1,1000,Men,409,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Einar Ogle,K1,2000,Men,622,time-trial,,,Time Trial 2017,4,22,2017,no,with turn,NA,NA
Einar Ogle,K1,2000,Men,658,time-trial,,,Time Trial 2017,4,22,2017,no,with turn,NA,NA
Einar Ogle,K1,2000,Men,677,time-trial,,,Time Trial 2017,4,22,2017,no,with turn,NA,NA
Jake Zikan,K1,200,Men,51,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Jake Zikan,K1,500,Men,135,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Jake Zikan,K1,1000,Men,283,time-trial,,,Time Trial 2017,4,29,2017,no,,NA,NA
Liam Jennings,K1,2000,Men,622,time-trial,,,Time Trial 2017,4,22,2017,no,with turn,NA,NA
Liam Jennings,K1,2000,Men,652,time-trial,,,Time Trial 2017,4,22,2017,no,with turn,NA,NA
