"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Elizabeth Holmes","K1",1000,"Women",326.7,"Final","1","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","33 Event #110: K-1 Master B Womens 1000m Final "
"Renee Villanueva","K1",1000,"Women",346.23,"Final","2","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","33 Event #110: K-1 Master B Womens 1000m Final "
"Andrew Story","C1",1000,"Men",355.92,"Final","1","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","37 Event #114: C-1 Master B Mens 1000m Final "
"Ed Goldthwaite","C1",1000,"Men",384.37,"Final","2","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","37 Event #114: C-1 Master B Mens 1000m Final "
"Robert Hahn","C1",1000,"Men",NA,"Final","","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","37 Event #114: C-1 Master B Mens 1000m Final "
"Steve Scoggins","K1",1000,"Men",279.93,"Final","1","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Jorge Cabanillas","K1",1000,"Men",295.56,"Final","2","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Hiroki Ishii","K1",1000,"Men",337.53,"Final","3","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Jason Skarda","K1",1000,"Men",338.85,"Final","4","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Saumo Puapuaga","K1",1000,"Men",391.94,"Final","5","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Michael Garcia","K1",1000,"Men",400.58,"Final","6","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Zoltan David","K1",1000,"Men",NA,"Final","DNS","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Lazar Drinic","K1",1000,"Men",NA,"Final","DNS","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","42 Event #120: K-1 Master A Mens 1000m Final "
"Kathleen McNamee","K1",1000,"Women",326.92,"Final","1","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","45 Event #123: K-1 Master A Womens 1000m Final "
"Ariel Allison","K1",1000,"Women",366.1,"Final","2","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","45 Event #123: K-1 Master A Womens 1000m Final "
"Shannon Ratermann","K1",1000,"Women",466.85,"Final","3","Mas","US Masters Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","45 Event #123: K-1 Master A Womens 1000m Final "
