name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Camden Sexton,C1,1000,Men,322.46,Heat,1,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Dylan Bue,C1,1000,Men,323.13,Heat,2,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Isaiah Schuman,C1,1000,Men,333.54,Heat,3,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Caleb Copper,C1,1000,Men,356.29,Heat,4,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Oliver Farquhar,C1,1000,Men,390.31,Heat,5,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Ian Edward Haack,C1,1000,Men,466.83,Heat,6,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Jacob Lee Dickson,C1,1000,Men,543.87,Heat,7,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Kai Poecher,C1,1000,Men,604.08,Heat,8,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 1
Edward Surles,C1,1000,Men,324.62,Heat,1,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Jonathan Grady,C1,1000,Men,326.44,Heat,2,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Ethan Wickline,C1,1000,Men,339.07,Heat,3,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Ethan Skarda,C1,1000,Men,343.85,Heat,4,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Tyler Gervasoni,C1,1000,Men,367.86,Heat,5,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Kevin Rochester,C1,1000,Men,451.01,Heat,6,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Aaron Dickson,C1,1000,Men,458.18,Heat,7,Bantam,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Bantam Men C1 1000m Heat 2
Owen Farley-Klacik,K1,1000,Men,250.88,Heat,1,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Jonathan Barnato,K1,1000,Men,253.38,Heat,2,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Brayden Sexton,K1,1000,Men,268.25,Heat,3,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Ethan Ky,K1,1000,Men,269.62,Heat,4,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Max Roberts,K1,1000,Men,274.33,Heat,5,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Cameron Bartlett,K1,1000,Men,283.54,Heat,6,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Jeremy Markowski,K1,1000,Men,284.8,Heat,7,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Lee Waddell,K1,1000,Men,297.34,Heat,8,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 1
Noa Hopper,K1,1000,Men,251.94,Heat,1,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Aukai Manson,K1,1000,Men,255.54,Heat,2,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Nainoa Orr,K1,1000,Men,262.89,Heat,3,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Alec Denny,K1,1000,Men,279.74,Heat,4,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
J.R. Coleman,K1,1000,Men,288.51,Heat,5,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Jerry Chen,K1,1000,Men,291.02,Heat,6,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Phillip Solheim,K1,1000,Men,305.47,Heat,7,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Rohan Marsters,K1,1000,Men,316.64,Heat,8,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 2
Kyle Field,K1,1000,Men,247.77,Heat,1,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Justin Barker,K1,1000,Men,252.15,Heat,2,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Clay Baker,K1,1000,Men,253.48,Heat,3,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Tyler Silva,K1,1000,Men,255.9,Heat,4,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Chris Norton,K1,1000,Men,276.88,Heat,5,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Justin Rowntree,K1,1000,Men,281.77,Heat,6,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Anders Carlson,K1,1000,Men,299.61,Heat,7,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Kailoa Akaka,K1,1000,Men,369.93,Heat,8,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 3
Jack Capper,K1,1000,Men,263.13,Heat,1,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Garrett Michael Wampler,K1,1000,Men,266.89,Heat,2,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Donovan Gervasoni,K1,1000,Men,279.41,Heat,3,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Zoran Cullinan,K1,1000,Men,285.31,Heat,4,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Nick Nebel,K1,1000,Men,324.42,Heat,5,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Alex Thayer,K1,1000,Men,328.84,Heat,6,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Harry Brown,K1,1000,Men,335.38,Heat,7,Juvenile,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Juvenile Men K1 1000m Heat 4
Andy Guiardinu,K1,1000,Men,237.49,Heat,1,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Timothy Burdiak,K1,1000,Men,238.96,Heat,2,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Peter Petrovics,K1,1000,Men,245.06,Heat,3,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Adam Lee,K1,1000,Men,265.81,Heat,4,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Kainalu Obayashi,K1,1000,Men,267.31,Heat,5,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Michael Weyna,K1,1000,Men,268.35,Heat,6,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Dillon Thomas Kimsey,K1,1000,Men,298.53,Heat,7,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Christian Johansen,K1,1000,Men,327.09,Heat,8,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 1
Kalei Kaho'okele,K1,1000,Men,240.53,Heat,1,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Juraj Osusky,K1,1000,Men,242.68,Heat,2,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Aaron Daniel Mullican,K1,1000,Men,248.12,Heat,3,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
David Petrovics,K1,1000,Men,254.08,Heat,4,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Garen Doyle,K1,1000,Men,260.58,Heat,5,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Dylan Smith,K1,1000,Men,263.32,Heat,6,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Sean Barlow,K1,1000,Men,264.88,Heat,7,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Lazar Drinic,K1,1000,Men,284.13,Heat,8,Senior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Senior Men K1 1000m Heat 2
Alex Lee; Liam Namba,K2,1000,Men,229.55,Heat,1,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Jonathan Espinosa; Noa Hopper,K2,1000,Men,234.38,Heat,2,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Kai Wilding; Nick Wong,K2,1000,Men,240.3,Heat,3,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Payton J. Chiou; Steven Knight,K2,1000,Men,242.83,Heat,4,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Ethan Jung; Ethan Ky,K2,1000,Men,266.87,Heat,5,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Matt McGivern; Zachary Soenksen,K2,1000,Men,NA,Heat,DNS,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 1
Miles Cross-Whiter; Nathaniel Errez,K2,1000,Men,231.53,Heat,1,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
Michael Miller; Ryan Miller,K2,1000,Men,234.68,Heat,2,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
Henry McCarthy; Sage Harmon,K2,1000,Men,245.68,Heat,3,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
Chris Norton; Jacob Thayer,K2,1000,Men,250.49,Heat,4,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
Alec Denny; Henry Hilt,K2,1000,Men,265.58,Heat,5,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
Christian Carrillo; Kieran Bauman,K2,1000,Men,NA,Heat,DNF,Junior,US Nationals 2015,7,30,2015,yes,,2015 USA Canoe Kayak Sprint National Championships Chula Vista,Junior Men K2 1000m Heat 2
