"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Kalen Oliveira","K1",1000,"Men",265.43,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Ethan Skarda","K1",1000,"Men",266.23,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Walker Peck","K1",1000,"Men",267.29,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Jackson Hickerson","K1",1000,"Men",275.19,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Lane Hopkins","K1",1000,"Men",284.57,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Ryan Bussert","K1",1000,"Men",330.1,"Heat","6","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Tyler Dudgeon","K1",1000,"Men",350.93,"Heat","7","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Jacob Dolan","K1",1000,"Men",358.82,"Heat","8","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Zach Severson","K1",1000,"Men",378.78,"Heat","9","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","2 Event #101: K-1 Bantam Mens 1000m Heat 2"
"Liam Jennings","K1",1000,"Men",281.75,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Alex Atia","K1",1000,"Men",296.47,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Carlos Baretto","K1",1000,"Men",307.45,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Nate Boyd","K1",1000,"Men",311.2,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Dylan Kemether","K1",1000,"Men",323.39,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Parker Amano","K1",1000,"Men",341.33,"Heat","6","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Jet Gatewood","K1",1000,"Men",353.97,"Heat","7","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Jackson Malone","K1",1000,"Men",360.97,"Heat","8","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Jeremy Robinson","K1",1000,"Men",387.48,"Heat","9","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","3 Event #101: K-1 Bantam Mens 1000m Heat 3"
"Colin McMullen","K1",1000,"Men",278.71,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Jackson Plymale","K1",1000,"Men",279.76,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Owen Chiou","K1",1000,"Men",290.6,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Eric McCluskey","K1",1000,"Men",316.47,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Tyler Takahashi","K1",1000,"Men",329.69,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Austin Copper","K1",1000,"Men",334.84,"Heat","6","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Matt Ponce","K1",1000,"Men",335.03,"Heat","7","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Andrew Waters","K1",1000,"Men",365.27,"Heat","8","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","4 Event #101: K-1 Bantam Mens 1000m Heat 4"
"Ana Swetish","K1",1000,"Women",295.13,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Kali Wilding","K1",1000,"Women",308.15,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Sierra Noskoff","K1",1000,"Women",309.28,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Grace Valentine","K1",1000,"Women",342.51,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Erica Norton","K1",1000,"Women",380.01,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Sara Masuyama","K1",1000,"Women",391.1,"Heat","6","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","5 Event #104: K-1 Bantam Womens 1000m Heat 1"
"Elena Wolgamot","K1",1000,"Women",295.77,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Nicole Anderson","K1",1000,"Women",302.81,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Abby Scoggins","K1",1000,"Women",320.21,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Ashley Diget","K1",1000,"Women",331.26,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Audrey Thiessen","K1",1000,"Women",341.81,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Hanna Blume","K1",1000,"Women",NA,"Heat","DNF","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","6 Event #104: K-1 Bantam Womens 1000m Heat 2"
"Chloe Mitchell","K1",1000,"Women",310.93,"Heat","1","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","7 Event #104: K-1 Bantam Womens 1000m Heat 3"
"Jasmin Gomes","K1",1000,"Women",318.04,"Heat","2","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","7 Event #104: K-1 Bantam Womens 1000m Heat 3"
"Megan Hayes","K1",1000,"Women",321.63,"Heat","3","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","7 Event #104: K-1 Bantam Womens 1000m Heat 3"
"Audrey Milner","K1",1000,"Women",329.07,"Heat","4","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","7 Event #104: K-1 Bantam Womens 1000m Heat 3"
"Samantha Nelson","K1",1000,"Women",360.66,"Heat","5","Bantam","US Nationals 2016",8,3,2016,"yes"," ","USA Canoe/Kayak Sprint National Championships","7 Event #104: K-1 Bantam Womens 1000m Heat 3"
