"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Miles Cross-Whiter; Nathaniel Errez","K2",1000,"Men",236.925,"Heat","1","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Austen Czuleger; Michael Weyna","K2",1000,"Men",238.413,"Heat","2","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Kainalu Obayashi; Kawika Kaleleiki","K2",1000,"Men",239.941,"Heat","3","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Kyle Field; Payton Chiou","K2",1000,"Men",252.661,"Heat","4","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Michael Miller; Ryan Miller","K2",1000,"Men",261.957,"Heat","5","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Brandon Markowski; Ethan Jung","K2",1000,"Men",265.397,"Heat","6","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Benson Fisk; Christian Carrillo","K2",1000,"Men",276.829,"Heat","7","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","1 Event #12: JMK2 1000m Heat 1"
"Robert Bradley; Justin Nichols","K2",1000,"Men",239.647,"Heat","1","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Noa Hopper; Jonathan Espinosa","K2",1000,"Men",240.775,"Heat","2","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Jonathan Chee; Kai Wilding","K2",1000,"Men",242.055,"Heat","3","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Evan Truesdale; Austin Russell","K2",1000,"Men",245.815,"Heat","4","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Berghash Aaron; Tom Murn","K2",1000,"Men",247.119,"Heat","5","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Anthony Moore; Myles Baker","K2",1000,"Men",248.023,"Heat","6","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Aukai Manson; Noah Hedrick","K2",1000,"Men",255.783,"Heat","7","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","2 Event #12: JMK2 1000m Heat 2"
"Andrew Field","C1",1000,"Men",279.9,"Heat","1","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Riley Brunner","C1",1000,"Men",280.85,"Heat","2","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Kenneth Kasperbauer","C1",1000,"Men",305.24,"Heat","3","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Erik North","C1",1000,"Men",306.02,"Heat","4","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Michael Olson","C1",1000,"Men",325.3,"Heat","5","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Benjamin Conard","C1",1000,"Men",NA,"Heat","","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","3 Event #13: JMC1 1000m Heat 1"
"Reidar Jacobson","C1",1000,"Men",280.278,"Heat","1","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Haydon Tieman","C1",1000,"Men",307.478,"Heat","2","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Ryan Grady","C1",1000,"Men",309.302,"Heat","3","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Paul Chevallier","C1",1000,"Men",311.03,"Heat","4","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Tyler Martin","C1",1000,"Men",312.998,"Heat","5","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Dustin Grattan","C1",1000,"Men",332.47,"Heat","6","Junior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","4 Event #13: JMC1 1000m Heat 2"
"Ryan Dolan","K1",1000,"Men",242.106,"Heat","1","Senior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","5 Event #14: SMK1 1000m Heat 1"
"Stanton Collins","K1",1000,"Men",243.002,"Heat","2","Senior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","5 Event #14: SMK1 1000m Heat 1"
"David Petrovics","K1",1000,"Men",248.81,"Heat","3","Senior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","5 Event #14: SMK1 1000m Heat 1"
"Tim Burdiak","K1",1000,"Men",252.226,"Heat","4","Senior","US Trials 2014",4,25,2014,"yes"," ","USA Canoe/Kayak Sprint Team Trials","5 Event #14: SMK1 1000m Heat 1"
