"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aaron Mullican","K1",200,"Men",43.18,"heat","2nd","junior","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Aaron Mullican","K1",500,"Men",120.107,"heat","4th","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Aaron Mullican","K1",1000,"Men",263.344,"final","6th","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Aaron Mullican","K1",1000,"Men",256.346,"heat","3rd","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Angela Wang","C1",200,"Women",54.96,"final","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Angela Wang","C1",500,"Women",164.82,"final","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Angela Wang","C1",500,"Women",162.179,"heat","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Austen Czuegler","K1",200,"Men",49.221,"heat","5th","juvie","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Austen Czuegler","K1",500,"Men",141.884,"final","5th","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Austen Czuegler","K1",500,"Men",136.057,"heat","1st","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Austen Czuegler","K1",1000,"Men",300.867,"heat","6th","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Azusa Murphy","C1",200,"Women",70.631,"final","6th","junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Azusa Murphy","C1",200,"Women",72.141,"final","4th","juvie/junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Azusa Murphy","C1",500,"Women",204.859,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Azusa Murphy","C1",500,"Women",219.6,"final","9th","junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Azusa Murphy","C1",500,"Women",188.693,"heat","5th","junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Azusa Murphy","C1",1000,"Women",422.76,"final","4th","juvie","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Azusa Murphy","C1",1000,"Women",445.692,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",43.616,"final","1st","juvie","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",46.797,"final","5th","junior","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",43.347,"heat","1st","juvie","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",200,"Men",42.972,"heat","4th","junior","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",500,"Men",128.144,"final","8th","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",500,"Men",115.116,"heat","3rd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Dylan Puckett","K1",1000,"Men",261.526,"heat","1st","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",200,"Men",52.757,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",500,"Men",144.98,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Henry Hilt","K1",1000,"Men",296.04,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",200,"Men",46.667,"final","8th","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",200,"Men",44.409,"heat","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",1000,"Men",262.213,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jesse Lishchuk","K1",1000,"Men",259.451,"heat","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jonathan Espinosa","K1",200,"Men",45.092,"heat","2nd","juvie","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Jonathan Espinosa","K1",500,"Men",131.285,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Jonathan Espinosa","K1",500,"Men",128.517,"heat","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Lydia Keefe-Sampson","C1",200,"Women",59.366,"final","2nd","juvie","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Lydia Keefe-Sampson","C1",500,"Women",167.623,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Lydia Keefe-Sampson","C1",500,"Women",171.21,"final","3rd","junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Lydia Keefe-Sampson","C1",500,"Women",166.349,"heat","1st","junior","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Lydia Keefe-Sampson","C1",1000,"Women",342.85,"final","1st","juvie","US Nationals 2011",8,5,2011,"yes","racing up","NA","NA"
"Lydia Keefe-Sampson","C1",1000,"Women",368.601,"final","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",200,"Women",56.864,"final","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",500,"Women",168.05,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",500,"Women",177.589,"heat","3rd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Makenzie Soiusley","C1",1000,"Women",345.062,"final","2nd","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Michael Weyna","K1",200,"Men",46.052,"final","6th","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Michael Weyna","K1",200,"Men",43.468,"heat","1st","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",269.845,"final","4th","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Michael Weyna","K1",1000,"Men",260.325,"heat","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",200,"Men",49.652,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",500,"Men",136.51,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",500,"Men",141.8,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",1000,"Men",279.36,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Miles Cross-Whiter","K1",1000,"Men",293.8,"NA","NA","NA","US Nationals 2011",8,5,2011,"yes","NA","NA","NA"
"Pat Dolan","K1",1000,"Men",237.455,"final","7th","NA","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Stanton Collins","K1",200,"Men",42.488,"final","3rd","junior","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
"Stanton Collins","K1",200,"Men",40.775,"heat","2nd","junior","US Nationals 2011",8,1,2011,"yes","NA","NA","NA"
