name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Mullican,K1,200,Men,40.31,final,5th,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Aaron Mullican,K1,200,Men,39.73,heat,1st,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Aaron Mullican,K1,1000,Men,239.18,final,5th,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Aaron Mullican,K1,1000,Men,248.12,heat,3rd,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Aaron Small,K1,200,Men,45.33,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aaron Small,K1,200,Men,46.16,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aaron Small,K1,200,Men,46.39,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aaron Small,K1,1000,Men,290.08,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aaron Small; HarryBOKC,K2,1000,Men,283.44,heat,6th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alec Denny,K1,200,Men,45.14,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alec Denny,K1,1000,Men,279.74,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alec Denny; Henry Hilt,K2,1000,Men,265.58,heat,5th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alex Lee,K1,200,Men,40.69,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alex Lee,K1,200,Men,40.77,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alex Lee,K1,1000,Men,225.6,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Alex Lee,K1,1000,Men,236.77,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Andrew Surles,K1,200,Men,51.88,final B,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Andrew Surles,K1,200,Men,50.04,heat,NA,juvie,US Nationals 2015,8,5,2015,yes,racing up,NA,NA
Andrew Surles,K1,200,Men,50.49,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,274.08,final,6th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,279.133,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aukai Manson,K1,1000,Men,252.5,final,5th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Aukai Manson,K1,1000,Men,255.54,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,56.45,final,3rd,junior,US Nationals 2015,8,5,2015,yes,racing up,NA,NA
Azusa Murphy,C1,200,Women,57.16,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,152.87,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Azusa Murphy,C1,5000,Women,1842.01,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Azusa Murphy; Lydia Keefe-Sampson,C2,500,Women,146.99,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Chris Norton,K1,200,Men,47.04,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Chris Norton,K1,1000,Men,276.88,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Ethan Ky,K1,200,Men,43.49,final,6th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Ethan Ky,K1,200,Men,43.33,heat,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Evan Truesdale,K1,200,Men,43.25,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Evan Truesdale,K1,200,Men,43.76,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Evan Truesdale,K1,1000,Men,243.18,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Evan Truesdale,K1,1000,Men,264.78,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Garrett Wampler,K1,200,Men,45.15,heat,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Garrett Wampler,K1,1000,Men,266.89,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Hana Neutz,C1,200,Women,95.41,final,9th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Hana Neutz,C1,500,Women,228.15,final,9th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Hana Neutz,C1,5000,Women,2731.95,final,6th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Henry Hilt,K1,200,Men,41.94,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Henry Hilt,K1,200,Men,43.41,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Henry Hilt,K1,1000,Men,255.73,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Henry Hilt; Michael Weyna,K2,1000,Men,235.82,heat,5th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jack Capper,K1,200,Men,40.53,final,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jack Capper,K1,200,Men,41.79,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jack Capper,K1,1000,Men,254.81,final,7th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jack Capper,K1,1000,Men,263.12,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan,K1,200,Men,50.26,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan,K1,200,Men,50.66,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan,K1,1000,Men,273.79,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan,K1,1000,Men,279.37,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan; Victor Hilt,K2,200,Men,46.47,final,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan; Victor Hilt,K2,200,Men,47.01,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan; Victor Hilt,K2,1000,Men,265.89,final,4th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jake Zikan; Victor Hilt,K2,1000,Men,263.94,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jerry Chen,K1,200,Men,48.5,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jerry Chen,K1,1000,Men,291.02,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jerry Chen; Alec Denny,K2,1000,Men,262.44,final,8th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jerry Chen; Alec Denny,K2,1000,Men,257.29,heat,5th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jonathan Barnato,K1,200,Men,43.83,final,7th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jonathan Barnato,K1,200,Men,43.56,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jonathan Barnato,K1,1000,Men,252.09,final,4th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Jonathan Barnato,K1,1000,Men,253.38,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Juraj Osusky,K1,200,Men,39.99,final,4th,senior,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Juraj Osusky,K1,200,Men,40.43,heat,2nd,senior,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Juraj Osusky,K1,1000,Men,224.23,final,4th,senior,US Nationals 2015,11,10,2015,yes,NA,NA,NA
Justin Barker,K1,200,Men,43.27,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Justin Barker,K1,1000,Men,252.15,final,6th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Justin Barker,K1,1000,Men,252.15,heat,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Kaley Martin,C1,200,Men,63.7,final,5th,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Kaley Martin,C1,200,Men,64.17,final,7th,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Kaley Martin,C1,500,Men,168.5,final,3rd,junior,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Kaley Martin,C1,500,Men,173.55,final,4th,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Kaley Martin,C1,5000,Men,2139.49,final,2nd,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Kyle Field,K1,200,Men,39.34,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Kyle Field,K1,200,Men,40.41,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Kyle Field,K1,1000,Men,243.99,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Kyle Field,K1,1000,Men,247.77,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Liam Jennings,K1,200,Men,55.86,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Liam Jennings,K1,1000,Men,312.43,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Liam Jennings; Phillip Solheim,K2,1000,Men,284.03,heat,4th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,54.44,final,1st,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Lydia Keefe-Sampson,C1,200,Women,54.95,final,1st,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Lydia Keefe-Sampson,C1,500,Women,150.78,final,1st,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Lydia Keefe-Sampson,C1,500,Women,151.84,final,1st,junior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Lydia Keefe-Sampson,C1,5000,Women,1769.96,final,1st,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Makenzie Soiusley,C1,200,Women,56.23,final,2nd,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Makenzie Soiusley,C1,500,Women,165.18,final,3rd,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Makenzie Soiusley,C1,5000,Women,1900.75,final,2nd,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Michael Weyna,K1,200,Men,44.29,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,37.77,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,39.29,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,39.79,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,40.72,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,228.14,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,246.3,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,35.41,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,40.3,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,1000,Men,216.25,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,1000,Men,231.53,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nainoa Orr,K1,200,Men,44.5,final,8th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nainoa Orr,K1,200,Men,42.85,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nainoa Orr,K1,1000,Men,262.89,heat,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nate Errez,K1,200,Men,40.28,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nate Errez,K1,200,Men,41.06,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nate Errez,K1,1000,Men,233.83,final,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Nate Errez,K1,1000,Men,250.11,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Noa Hopper,K1,1000,Men,245.79,final,3rd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Noa Hopper,K1,1000,Men,251.94,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Olivia Crocker,C1,200,Women,57.08,final,4th,junior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Olivia Crocker,C1,200,Women,59.51,final,5th,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Olivia Crocker,C1,200,Women,60.3,final,3rd,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Olivia Crocker,C1,500,Women,155.69,final,2nd,senior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Olivia Crocker,C1,500,Women,155.98,final,2nd,junior,US Nationals 2015,7,31,2015,yes,racing up,NA,NA
Olivia Crocker,C1,5000,Women,1931.94,final,2nd,NA,US Nationals 2015,7,31,2015,yes,NA,NA,NA
Owen Farley-Klacik,K1,200,Men,39.61,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Farley-Klacik,K1,200,Men,42.4,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Farley-Klacik,K1,1000,Men,242.31,final,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Farley-Klacik,K1,1000,Men,230.88,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Ozaki,K1,200,Men,43.45,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Ozaki,K1,200,Men,44.73,heat,4th,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Ozaki,K1,200,Men,44.82,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Ozaki,K1,1000,Men,248.6,final,2nd,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Owen Ozaki,K1,1000,Men,267.54,heat,1st,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Tim Burdiak,K1,200,Men,42.93,heat,6th,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Tim Burdiak,K1,1000,Men,231.99,final,2nd,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Tim Burdiak,K1,1000,Men,238.96,heat,2nd,NA,US Nationals 2015,7,30,2015,yes,NA,NA,NA
Victor Hilt,K1,200,Men,50.49,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Victor Hilt,K1,200,Men,52.51,NA,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
Victor Hilt,K1,1000,Men,302,heat,NA,NA,US Nationals 2015,8,5,2015,yes,NA,NA,NA
