name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Small,K1,200,Men,68.9,heat,6th,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Aaron Small,K1,500,Men,186.62,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Aaron Small; Jerry Chen,K2,500,Men,178.68,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Aidan Denny,K1,200,Men,57.16,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Aidan Denny,K1,200,Men,58.07,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Aidan Denny,K1,500,Men,156.81,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Alec Denny,K1,200,Men,57.34,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Alec Denny,K1,500,Men,156.46,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Alec Denny; Aidan Denny,K2,200,Men,57.57,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Alec Denny; Aidan Denny,K2,500,Men,140.71,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,64.63,final,1st,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,167.81,final,1st,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Jerry Chen,K1,200,Men,73.96,final B,3rd,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Jerry Chen,K1,200,Men,74.72,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Jerry Chen,K1,500,Men,195.74,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Jerry Chen; Other,K2,200,Men,81.8,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,200,Men,43.15,final,2nd,U18,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,200,Men,44.47,heat,open,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,200,Men,44.52,heat,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,500,Men,117.2,final,open,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,500,Men,119.44,final,2nd,U18,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,500,Men,113.19,heat,NA,U18,Slawko 2013,5,19,2013,yes,NA,NA,NA
Michael Weyna,K1,500,Men,118.51,heat,open,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,43.63,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,45.04,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,119.14,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,123.58,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,200,Men,41.71,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez,K2,500,Men,110.04,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Nate Errez,K1,200,Men,47.97,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Nate Errez,K1,200,Men,49.05,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Nate Errez,K1,500,Men,139.11,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
Nate Errez,K1,500,Men,139.34,NA,NA,NA,Slawko 2013,5,19,2013,yes,NA,NA,NA
