name,age,club,boat,gender,country,type
Aaron Rublee,,KCKC,C,M,CAN,
Abigail Van Dermerwe,2002,,C,F,CAN,
Adam Baird,2001,,K,M,CAN,
Adam Richard,2000,,C,M,CAN,
Adam van Koeverden,1982,,K,M,CAN,Elite
Adam Vetter,,FCRCC,C,M,CAN,
Adriana Lilley Osende,2001,,K,F,CAN,
Adriana Osende,2001,,K,F,CAN,
Aidan Dumont,2001,Carleton Place,K,M,CAN,
Aiden Tabata,2000,KCKC,K,M,CAN,
Aiden Winsor,2001,,K,F,CAN,
Ailish Mcnulty,1995,,K,F,CAN,
Alanna Bray-Lougheed,1993,,K,F,CAN,
Alec Myles,1999,,K,M,CAN,
Alec Sibthorpe,2001,,C,M,CAN,
Alek Bellemare,2000,,C,M,CAN,
Alessandro Busa,2001,,K,M,CAN,
Alex Brent,1997,,K,M,CAN,
Alex Canning,2000,,K,M,CAN,
Alexa Irvin,1992,,K,F,CAN,
Alexander Demishkevich,1999,,C,M,CAN,
Alexander Dimitriev,,RCKC,K,M,CAN,
Alexander Hoferek,2000,,K,M,CAN,
Alexander Mallet,2001,,K,M,CAN,
Alexander Scott,1995,,K,M,CAN,
Alexandre Hoferek,2000,,K,M,CAN,
Alexandre Martin,2000,,K,M,CAN,
Alexanne Morin,2000,,K,F,CAN,
Alexis Balsamo,,PCA,K,F,CAN,
Alexis Dallaire,2000,,C,M,CAN,
Alexis Gélinas,2000,Shawinigan,K,M,CAN,
Alexis Savard-Drouin,2000,,K,M,CAN,
Alexis St-Jean,1999,Trois Rivieres,K,M,CAN,
Alix Plomteux,2000,,C,M,CAN,
Allie Wang,2002,,K,F,CAN,
Allison Geldart,2000,,K,F,CAN,
Alyssa Penney,,RCKC,K,F,CAN,
Amelia Stephenson,2001,,C,F,CAN,
Amy Auclair,2000,,K,F,CAN,
Andréanne Langlois,1993,,K,F,CAN,
Andrea Ditchfield,,RCKC,K,F,CAN,
Andrew Billard,2002,,C,M,CAN,
Andrew Jessop,1990,,K,M,CAN,
Andrew Sugianto,,FCRCC,K,M,CAN,
Andrik Terauds,1998,,K,M,CAN,
Angella Lee,,RCKC,K,F,CAN,
Angelina Davidson,2002,,K,F,CAN,
Anna Beaudry,,PCA,C,F,CAN,
Anna Negulic,1998,,K,F,CAN,
Anna O'Brien,2002,,K,F,CAN,
Anna Roy-Cyr,1998,,C,F,CAN,
Anna Zhang,,FCRCC,C,F,CAN,
Annabelle Gadoury,2002,,K,F,CAN,
Annah-Bénédicte Mbongo,2001,,K,F,CAN,
Anne-Catherine Lavallee-Latour,1999,,K,F,CAN,
Anne-Sophie Caumartin,2000,,K,F,CAN,
Anne-Sophie Lavoie-Parent,1998,,C,F,CAN,
Anya Chuprys,2000,,K,F,CAN,
Ariane Dessureault,2000,,K,F,CAN,
Arjun Senanayke,,FCRCC,C,M,CAN,
Arnaud Dallaire,2002,,K,M,CAN,
Asha Senanayke,,FCRCC,K,F,CAN,
Ashley Audas,2002,,K,F,CAN,
Ashley Card,1999,,K,F,CAN,
Ashley Rowe,,NCKC,K,F,CAN,
Audrey De Varennes,1999,,C,F,CAN,
August Sibthorpe,1997,,K,F,CAN,
Ava Carew,2003,,C,F,CAN,
Ayla Murdoc,,NCKC,K,F,CAN,
Béatrice Lafontaine,2000,,K,F,CAN,
Ben Muench,,FLCC,K,M,CAN,
Ben Tardioli,1990,,C,M,CAN,
Brady Beaver,2000,Banook,K,M,CAN,
Brady Garcia,1997,,C,M,CAN,
Braiden Davis,,RCKC,K,M,CAN,
Brendan Shippit,,PCA,K,M,CAN,
Bret Himmelman,1998,,C,M,CAN,
Brian Hammer,,PMPC,K,M,CAN,
Brian Malfesi,1993,RCKC,K,M,CAN,
Brock Rawstron,,BCKC,K,M,CAN,
Brook McLean,,KCKC,C,F,CAN,
Brooke Westwater,2002,,K,F,CAN,
Brooklyn Wodehouse,2000,,K,F,CAN,
Bryan Davey,1999,,K,M,CAN,
Bryant Kelleway,,RCKC,K,M,CAN,
Caleb Gray,2000,,K,M,CAN,
Camden Pero,2000,,K,M,CAN,
Cameron Antifave,,NCKC,K,M,CAN,
Cameron Ledrew,2000,,K,M,CAN,
Cameron Low,2001,,K,M,CAN,
Cameron Maclean,,FLCC,K,M,CAN,
Carolyn Spina-Grzywacz,2002,,K,F,CAN,
Carly Lovett,,BCKC,K,F,CAN,
Carter Hugill,,RCKC,K,M,CAN,
Carys Mcmurray,2002,,K,F,CAN,
Cassidy MacPherson,,K,F,CAN,,
Charles Croteau,1999,,C,M,CAN,
Charles-Antoine Girouard,1994,,K,M,CAN,
Charlie Toth,,FLCC,K,M,CAN,
Charlotte Boisvert,2000,,K,F,CAN,
Charlotte Burke,2000,,K,F,CAN,
Charlotte Richard,2000,,C,F,CAN,
Chase Duff,,KCKC,K,M,CAN,
Chloe Martin,2002,,K,F,CAN,
Christian Ludwid,,RCKC,K,M,CAN,
Christian Patterson,2001,,C,M,CAN,
Christine George,1999,,C,F,CAN,
Christophe Proulx,1995,,K,M,CAN,
Christopher Abbott,,PMPC,C,M,CAN,
Cian Brushett,2001,,C,M,CAN,
Claire Carruthers,2001,,K,F,CAN,
Clay Lake,,RCKC,K,M,CAN,
Clément Bouchard,1996,,C,M,CAN,
Cody Franklin,,RCKC,C,M,CAN,
Coen del Valle,,K,M,CAN,,
Colin Black,1991,,K,M,CAN,
Colin Rieger,1999,,K,M,CAN,
Colton Meunch,,FLCC,K,M,CAN,
Connor Fitzpatrick,1998,,C,M,CAN,
Conor O'Neill,1999,,C,M,CAN,
Conrad Belliveau,,KCKC,K,M,CAN,
Corey Stewart,,PMPC,Para,M,CAN,
Corrina Higgins,1999,,K,F,CAN,
Courtney Piercey,2000,,K,F,CAN,
Courtney Stott,1992,,K,F,CAN,
Craig Johnson,2003,Senobe,K,M,CAN,
Craig Spence,1995,,C,M,CAN,
Dan Rink,,KCKC,K,M,CAN,
Daniel Mccullough,2002,,K,M,CAN,
Daniel Royal,2002,,C,M,CAN,
Danielle Caron,,NCKC,K,F,CAN,
Danylo Korsei,,FCRCC,C,M,CAN,
Darrel Pearse,,BCKC,K,M,CAN,
Darren Granale,,RCKC,K,M,CAN,
Darya Carmichael,2000,,K,F,CAN,
Daryl Remmler,,BCKC,K,M,CAN,
David Helliwell,,FCRCC,K,M,CAN,
David Nykl,,CRCC,K,M,CAN,
David Provost,1996,,C,M,CAN,
David Stewart,1999,,K,M,CAN,
Dell Meunch,,FLCC,K,M,CAN,
Devon Holcroft,,FLCC,K,M,CAN,
Dawson Peachey,2000,,C,M,CAN,
Dion Maxwell,,RCKC,K,M,CAN,
Dominic Gomez-Granger,1999,,K,M,CAN,
Dominik Crête,1991,,K,M,CAN,
Donald Kiesling,,SCKC,K,M,CAN,
Doug Abbot,,BCKC,K,M,CAN,
Douglas Ellery,1990,,C,M,CAN,
Drew Hodges,1993,,C,M,CAN,
Duncan Vandermoor,,RCKC,K,M,CAN,
Dylan Walsh,,FCRCC,K,M,CAN,
Edgar C Désy,2002,,C,M,CAN,
Edward Colhoun,,BCKC,K,M,CAN,
Édouard Beaumier,2000,,C,M,CAN,
Elias del Valle,,CRCC,K,M,CAN,
Elisa Robson-Brown,2001,FCRCC,K,F,CAN,
Elissa Elmadani,,FLCC,K,F,CAN,
Ella Hodgson-Pageau,2002,,C,F,CAN,
Elliot Hoyt,,FLCC,K,M,CAN,
Elliot Smith,2001,,K,M,CAN,
Emil Proulx,2001,,K,M,CAN,
Emily Burke,2000,,K,F,CAN,
Emily Parsons,2003,,K,F,CAN,
Emily Robinson,,KCKC,K,F,CAN,
Emma Guertin,,KCKC,K,F,CAN,
Emma Zoldy,2001,,K,F,CAN,
Emmanuelle Guilbert,1997,,C,F,CAN,
Ensby Brule,2001,,C,M,CAN,
Eric Ellery,1992,,K,M,CAN,
Eric Fast,,KCKC,K,M,CAN,
Eric Malogrosz,1999,,C,M,CAN,
Erika Gow,,FLCC,K,F,CAN,
Erin Demopolis,2001,,K,F,CAN,
Eugene Saburi,,CCKR,K,M,CAN,
Eva Goblot,2001,,K,F,CAN,
Evan Bezemer,1995,,C,M,CAN,
Evie Mcdonald,2003,,C,F,CAN,
Ewan MacKenzie,,RCKC,K,M,CAN,
Fridrich Lederer,,BCKC,K,M,CAN,
Florence Turcotte,2001,,K,F,CAN,
Foster Salpeter,1998,,C,M,CAN,
Frédéric Hallé,2001,,C,M,CAN,
Frédérique Lemire,2001,,K,F,CAN,
Gabor Sarkozi,1998,,K,M,CAN,
Gabrielle Bowman,2001,,C,F,CAN,
Gabrielle Leverette,2002,,K,F,CAN,
Gavin Jaeger-Freeborn,1997,,C,M,CAN,
Geneva Bond,2003,,C,F,CAN,
Genevieve L'Abbe,1997,,K,F,CAN,
Georgia Langdon,,BCKC,K,F,CAN,
Gibbons Niamh,,NCKC,K,F,CAN,
Gillian Helliwell,,FCRCC,K,F,CAN,
Giselle Cohen,,PKCC,K,F,CAN,
Grace Tsaousidis,2001,,K,F,CAN,
Grace Whebby,1999,,K,F,CAN,
Graham Raynor,,NCKC,K,M,CAN,
Graham Smith,,BCKC,K,M,CAN,
Guillaume Fournelle,1998,,K,M,CAN,
Hank Wang,,BCKC,C,M,CAN,
Hannah English,2000,,K,F,CAN,
Hannah Horten,,PKCC,K,F,CAN,
Hannah Macintosh,1995,,C,F,CAN,
Harry Colhoun,,BCKC,K,M,CAN,
Hayden Kralik,2002,,K,M,CAN,
Hayley Conrad,2002,,K,F,CAN,
Hayley Plante,1996,,K,F,CAN,
Hélio Touré,2002,,K,M,CAN,
Heather Giles,,RCKC,K,F,CAN,
Heidi Eden,,BCKC,K,F,CAN,
Hunter Morrissey,1995,,K,M,CAN,
Iain St Arnault,,FCRCC,K,M,CAN,
Ian Gaudet,2003,,K,M,CAN,
Ianna Folkes,,NCKC,K,F,CAN,
Isaac Finkelstein,1999,,C,M,CAN,
Isaiah Buist,,KCKC,K,M,CAN,
Isobel Glover,,VYPC,K,F,CAN,
Ivan Strashenko,2001,,K,M,CAN,
Jack Hall,2001,,K,M,CAN,
Jack Richman,2001,,K,M,CAN,
Jack Tutty,1999,,C,M,CAN,
Jackson Ali,,NCKC,K,M,CAN,
Jackson Lovett,,BCKC,K,M,CAN,
Jacob Chaine,1995,,K,M,CAN,
Jacob Fletcher,,FLCC,C,M,CAN,
Jacob Merrill-Arpin,2002,,C,M,CAN,
Jacob Price,2002,,K,M,CAN,
Jacob Steele,1997,,K,M,CAN,
Jacy Grant,2003,,C,F,CAN,
Jake Goddard,,KCKC,K,M,CAN,
James Erith-Ellwood,2002,Senobe,K,M,CAN,
James Lavallee,1997,,K,M,CAN,
James Mann,1999,,K,M,CAN,
Jane Girgulis,1999,,K,F,CAN,
Jarret Kenke,1994,,K,M,CAN,
Jasmine Kerr,2001,,K,F,CAN,
Jason Kim,,RCKC,K,M,CAN,
Jayden Hingley,2001,,C,M,CAN,
Jayden Terauds,2002,,C,M,CAN,
Jeff Jiang,,RCKC,K,M,CAN,
Jeff Raymond,,BCKC,K,M,CAN,
Jen Hunt,,RCKC,K,F,CAN,
Jen Zimmerman,,RCKC,K,F,CAN,
Jenna Neate,2000,,K,F,CAN,
Jeremy Desousa,2001,,K,M,CAN,
Jeremy Gagnon,2002,,K,M,CAN,
Jérémy Marchand,1999,,K,M,CAN,
Jérôme Desrosiers Mcarthur,2001,,K,M,CAN,
Jérome Lemay,2000,,K,M,CAN,
Jessica Mackay,2001,,C,F,CAN,
Jessica Reddin,2002,,K,F,CAN,
Jessie Kuran,,RCKC,C,F,CAN,
Jessie Rublee,,KCKC,C,F,CAN,
Jia Kim,,RCKC,K,F,CAN,
Joey Mollins,2001,,K,M,CAN,
John George,,BCKC,K,M,CAN,
Josh Plankeel,,FLCC,K,M,CAN,
Jordan Trass,,FLCC,K,M,CAN,
Julia Demchuk,2003,,K,F,CAN,
Julia Haring,2002,,C,F,CAN,
Julia Lilley Osende,2001,,C,F,CAN,
Julia Osende,2001,,C,F,CAN,
Julia Pottie,2001,,K,F,CAN,
Julianna Won,,RCKC,K,F,CAN,
Julien Lemay,1999,,C,M,CAN,
Juliette Brault,1997,,C,F,CAN,
Justin Lavigne,2001,,K,M,CAN,
Justin Won,,RCKC,K,M,CAN,
Kadan Johnson,2000,,K,M,CAN,
Khalil Lakhani,,BCKC,K,M,CAN,
Kailen Levy,2003,,K,M,CAN,
Kaimi Yoza,,HCKC,K,F,CAN,
Kaleb Aubey,,FLCC,K,M,CAN,
Kate Pennyfather,2002,,C,F,CAN,
Katherine Figueiredo,,PMPC,C,F,CAN,
Kathy Nay,,RCKC,K,F,CAN,
Katie Hoferek,1999,,K,F,CAN,
Katie Vanberkel,2001,,C,F,CAN,
Katie Vincent,1996,,C,F,CAN,Elite
Katrina Loutet,,BCKC,K,F,CAN,
Katja Rademacher,,BCKC,K,F,CAN,
Katy Stewart,2002,,K,F,CAN,
Kavita Thomas,2003,,C,F,CAN,
Keaton Brown,2003,Cheema,K,M,CAN,
Keegan Bateman,,FCRCC,K,F,CAN,
Keisha Tomasik,1996,,K,F,CAN,
Keisa Bleiler,,FCRCC,K,F,CAN,
Keith Kelleway,,RCKC,K,M,CAN,
Keith Major,,BCKC,K,M,CAN,
Kelly Downes,,KCKC,C,M,CAN,
Ken Muir,,RCKC,K,M,CAN,
Kenjiro MacMartin,,FCRCC,K,M,CAN,
Kevin Priebe,,RCKC,Para,M,CAN,
Kiera Willis,,KCKC,K,F,CAN,
Kieran Moorfield-Yee,1999,,C,M,CAN,
Kira Kishimoto,,BCKC,K,F,CAN,
Kirpa Dhillon,2000,,K,F,CAN,
Kirsten Huberman,,RCKC,K,F,CAN,
Krista Rasmussen,,BCKC,K,F,CAN,
