"name","age","club","boat","gender","country","type"
"Abbas Sen","2001",NA,"K","M","TUR",NA
"Adela Hazova","2002",NA,"K","F","CZE",NA
"Adela Janatova","2002",NA,"C","F","CZE",NA
"Adele Mustafic","2003",NA,"K","F","AUS",NA
"Ademola Adedapo","2002",NA,"K","M","AUS",NA
"Adriana Osende Lilley","2001",NA,"K","F","CAN",NA
"Adrianna Kąkol","2001",NA,"K","F","POL",NA
"Aivar Bergner","2002",NA,"K","M","LIT",NA
"Akira Matsukawa","2002",NA,"K","M","JPN",NA
"Ákos Orosz","2002",NA,"K","M","HUN",NA
"Albert Fritzsche","2003",NA,"K","M","GER",NA
"Albert Orlov","2003",NA,"K","M","EST",NA
"Albin Hallberg","2001",NA,"K","M","SWE",NA
"Alden Ler","2003",NA,"K","M","SIN",NA
"Aleksandar Perovic","2001",NA,"K","M","SER",NA
"Aleksander Pekhenko","2002",NA,"K","M","EST",NA
"Aleksejs Sevcovs","2001",NA,"C","M","LAT",NA
"Aleksy Datoń","2003",NA,"C","M","POL",NA
"Alen Mugerli","2003",NA,"K","M","SLO",NA
"Alena Krausova","2002",NA,"C","F","CZE",NA
"Alex Greaves","2001",NA,"K","M","GBR",NA
"Alex Sibthorpe","2001",NA,"C","M","CAN",NA
"Alexandra Armstrong","2003",NA,"K","F","GBR",NA
"Aliaksei Yakubovich","2001",NA,"C","M","BLR",NA
"Alisa Der Kwartel Van","2002",NA,"K","F","AUS",NA
"Alix Aitchison","2001",NA,"C","F","GBR",NA
"Amber Cox","2002",NA,"K","F","GBR",NA
"Amelia Braun","2003",NA,"C","F","POL",NA
"Amelie Geoffrin","2001",NA,"K","F","FRA",NA
"Ana Funtak","2003",NA,"C","F","CRO",NA
"Ana Mirkov","2003",NA,"K","F","SER",NA
"Anastasiya Hauruk","2001",NA,"C","F","BLR",NA
"Anastazija Bajuk","2002",NA,"K","F","SER",NA
"András Redl","2001",NA,"K","M","HUN",NA
"András Vajkai","2002",NA,"C","M","HUN",NA
"Andrea Corso","2003",NA,"C","M","ITA",NA
"Andrea Jaćimović","2003",NA,"K","F","BIH",NA
"Andrea Tillerova","2003",NA,"C","F","CZE",NA
"Andrei Chironda","2002",NA,"C","M","MOL",NA
"Andrew Billard","2002",NA,"C","M","CAN",NA
"Anhelina Bardanouskaya","2003",NA,"C","F","BLR",NA
"Anhelina Strezh","2001",NA,"K","F","BLR",NA
"Anja Damnjanov","2002",NA,"K","F","SER",NA
"Anna Hansen","2002",NA,"K","F","DEN",NA
"Anna Máró","2003",NA,"K","F","HUN",NA
"Anna Vásárhelyi-Nagy","2002",NA,"K","F","HUN",NA
"Annette Wehrmann","2001",NA,"C","F","GER",NA
"Anthew Low","2001",NA,"K","F","SIN",NA
"Antoni Łapczyński","2003",NA,"K","M","POL",NA
"Antons Kalatinis","2003",NA,"C","M","LAT",NA
"Arda Kirimli","2002",NA,"K","M","TUR",NA
"Ari Kühnel","2002",NA,"C","M","GER",NA
"Armandass Žumbys","2001",NA,"K","M","LIT",NA
"Artūras Golovač","2003",NA,"C","M","LIT",NA
"Augustas Jankauskas","2002",NA,"K","M","LIT",NA
"Axelle Renard","2002",NA,"C","F","FRA",NA
"Balázs Pálla","2002",NA,"C","M","HUN",NA
"Barbora Betlachova","2001",NA,"K","F","CZE",NA
"Barbora Galadova","2002",NA,"K","F","CZE",NA
"Barnabás Kozma","2003",NA,"K","M","HUN",NA
"Barnabás Lengyel","2003",NA,"K","M","HUN",NA
