"name","age","club","boat","gender","country","type"
"Aaron Small",NA,"SCKC","K","M","USA",NA
"Abby Charlesworth",NA,"FLCC","K","F","CAN",NA
"Abby Scoggins",NA,"BYPS","K","F","USA",NA
"Abigail Ronayne",NA,"PCA","C","F","CAN",NA
"Abigail VanDerMerwe",NA,"CCC","K","F","CAN",NA
"Adrian Valdez",NA,"GHCKRT","K","M","USA",NA
"Aksel Shroeder",NA,"NCKC","K","M","CAN",NA
"Alastair Pearson",NA,"FCRCC","K","M","CAN",NA
"Alena Stenning-Lint",NA,"NCKC","K","F","CAN",NA
"Alexander Dmitriev",NA,"RCKC","K","M","CAN",NA
"Alexis Balsamo",NA,"PCA","K","F","CAN",NA
"Amaliya Bruechert",NA,"FCRCC","K","F","CAN",NA
"Amar Bains",NA,"BCKC","K","M","CAN",NA
"Amber Wang",NA,"FLCC","C","F","CAN",NA
"Ana Swetish",NA,"BYPS","K","F","USA",NA
"Andrew Clark",NA,"KCKC","K","M","CAN",NA
"Andrew Sugianto",NA,"FCRCC","K","M","CAN",NA
"Andrew Sugianto (M)",NA,"FCRCC","C","M","CAN",NA
"Andrew Thom",NA,"BCKC","K","M","CAN",NA
"Anna Beadry",NA,"PCA","C","F","CAN",NA
"Anna Beaudry",NA,"PCA","C","F","CAN",NA
"Anna Milde",NA,"NKCC","K","F","CAN",NA
"Arjun Senanayake",NA,"FCRCC","C","M","CAN",NA
"Ash Anderson",NA,"GHCKRT","K","M","USA",NA
"Asha Senanayake",NA,"FCRCC","C","F","CAN",NA
"Ashby Bodine",NA,"GHCKRT","K","M","USA",NA
"Audrey Milner",NA,"GHCKRT","K","F","USA",NA
"Ava Hampshire",NA,"CCC","K","F","CAN",NA
"Ava McArland",NA,"BYPS","K","F","USA",NA
"Bailey Stefani",NA,"NKCC","C","F","CAN",NA
"Bardia Shah Abadi",NA,"BCKC","K","M","CAN",NA
"Ben Breining",NA,"PCA","K","M","CAN",NA
"Benji Black",NA,"GHCKRT","C","M","USA",NA
"Brendan Shippit",NA,"PCA","K","M","CAN",NA
"Briana Haiduc",NA,"BCKC","K","F","CAN",NA
"Brody Johnson",NA,"CCC","K","M","CAN",NA
"Bryan Kelleway",NA,"RCKC","K","M","CAN",NA
"Bryant Kelleway",NA,"RCKC","K","M","CAN",NA
"Cameron Filler",NA,"FLCC","K","M","CAN",NA
"Camille Neutz",NA,"SCKC","K","F","USA",NA
"Carson Ko",NA,"BCKC","K","M","CAN",NA
"Carson Van Horne",NA,"NKCC","K","M","CAN",NA
"Carter Dundass",NA,"KCKC","K","M","CAN",NA
"Carter Hugill",NA,"RCKC","K","M","CAN",NA
"Cassidy MacPherson",NA,"RCKC","K","F","CAN",NA
"Cathy Potkins",NA,"NKCC","K","F","CAN",NA
"Catie Hinson",NA,"GHCKRT","K","F","USA",NA
"Chancy Bevin",NA,"GHCKRT","K","M","USA",NA
"Charlie Eccleston",NA,"KCKC","K","M","CAN",NA
"Charlie Toth",NA,"PMPC","K","M","CAN",NA
"Charlotte Gemmill",NA,"FCRCC","K","F","CAN",NA
"Charlotte Leplont",NA,"KCKC","K","F","CAN",NA
"Chayse Gauthier",NA,"BYPS","K","M","USA",NA
"Chaz Zaldo",NA,"KCKC","K","M","CAN",NA
"Chris Flynn",NA,"KCKT","K","F","USA",NA
"Claire St. Arnault",NA,"FCRCC","K","F","CAN",NA
"Cole Wilkie-Hobus",NA,"YCKC","K","M","CAN",NA
"Conner Wurts",NA,"GHCKRT","K","M","USA",NA
"Coper Julien",NA,"KCKC","K","M","CAN",NA
"Corey Stewart (P)",NA,"PMPC","C","M","CAN",NA
"Crystal Yip",NA,"BCKC","K","F","CAN",NA
"Daija Currie",NA,"NKCC","K","F","CAN",NA
"Danica Johnson",NA,"FCRCC","K","F","CAN",NA
"Daniel Castillo",NA,"FCRCC","K","M","CAN",NA
"Danika Fiala",NA,"PGCKC","K","F","CAN",NA
"Danila Korsei",NA,"FCRCC","C","M","CAN",NA
"Danni Wilkie-Hobus",NA,"YCKC","K","F","CAN",NA
"Darcie Quamme",NA,"NKCC","K","F","CAN",NA
"Dave Potkins",NA,"NKCC","K","M","CAN",NA
"David Peckham",NA,"PMPC","K","M","CAN",NA
"Doug Ritchie",NA,"KCKT","K","M","USA",NA
"Drew Huston",NA,"GHCKRT","C","M","USA",NA
"Dvyesh Challa",NA,"BCKC","K","M","CAN",NA
"Dylan Boeholt",NA,"GHCKRT","K","M","USA",NA
"Edward Colhoun",NA,"BCKC","K","M","CAN",NA
"Eleanor Wang",NA,"BCKC","K","F","CAN",NA
"Elena Wolgamot",NA,"BYPS","K","F","USA",NA
"Eli Holmes",NA,"SCKC","K","F","USA",NA
"Elisa Robson-Brown",NA,"FCRCC","K","F","CAN",NA
"Elissa Elmadani",NA,"FLCC","K","F","CAN",NA
"Elizabeth Clark",NA,"KCKC","K","F","CAN",NA
"Ella Bloomquist",NA,"SCKC","K","F","USA",NA
"Ellie Scoggins",NA,"BYPS","K","F","USA",NA
"Emily Robinson",NA,"KCKC","K","F","CAN",NA
"Emma Albaek-Christensen",NA,"PMPC","K","F","CAN",NA
"Emma Geisler",NA,"FCRCC","K","F","CAN",NA
"Emma McCoy",NA,"BYPS","K","F","USA",NA
"Eric McClusky",NA,"SCKC","K","M","USA",NA
"Eric Winsor",NA,"CCC","K","M","CAN",NA
"Erica Potkins",NA,"NKCC","K","F","CAN",NA
"Erik Armatano",NA,"CCKRT","K","M","USA",NA
"Erika Gow",NA,"FLCC","K","F","CAN",NA
"Erin Allan",NA,"CCC","K","F","CAN",NA
"Ewe MacKenzie",NA,"RCKC","K","M","CAN",NA
"Felix Purdhome",NA,"NKCC","K","M","CAN",NA
"Felix Purdhomme",NA,"NKCC","K","M","CAN",NA
"Frankie Kelley",NA,"GHCKRT","K","F","USA",NA
"Gabby Galindo",NA,"BCKC","C","F","CAN",NA
"Gabby Waltz",NA,"BYPS","K","F","USA",NA
"Georgia Langdon",NA,"BCKC","K","F","CAN",NA
"Graham Hein",NA,"NCKC","K","M","CAN",NA
"Grant Huston",NA,"GHCKRT","C","M","USA",NA
"Grant Rawstron",NA,"FLCC","K","M","CAN",NA
"Harris Hunter",NA,"KCKC","K","M","CAN",NA
"Harris Junter",NA,"KCKC","K","M","CAN",NA
"Harry Colhoun",NA,"BCKC","K","M","CAN",NA
"Heather Potkins",NA,"NKCC","C","F","CAN",NA
"Hilary Greenwood",NA,"BYPS","K","F","USA",NA
"Hillary Greenwood",NA,"BYPS","C","F","USA",NA
"Iain St. Arnault",NA,"FCRCC","C","M","CAN",NA
"India Williams",NA,"FLCC","C","F","CAN",NA
"Ingrid Rangel Ortega",NA,"BCKC","C","F","CAN",NA
"Isabella Flynn",NA,"KCKT","C","F","USA",NA
"Isaiah Morin",NA,"PCA","C","M","CAN",NA
"Ivan Strashenko",NA,"BCKC","K","M","CAN",NA
"Jackson Ali",NA,"NCKC","K","M","CAN",NA
"Jackson Fraser",NA,"NCKC","K","M","CAN",NA
"Jackson Plymale",NA,"GHCKRT","K","M","USA",NA
"Jacob Fletcher",NA,"FLCC","C","M","CAN",NA
"Jacob Heath",NA,"FCRCC","K","M","CAN",NA
"Jacob Horwood",NA,"NCKC","K","M","CAN",NA
"Jake Zikan",NA,"SCKC","K","M","USA",NA
"Jason Rusu",NA,"NKCC","K","M","CAN",NA
"Jason Rusu (M)",NA,"NKCC","C","M","CAN",NA
"Jasper Geisler",NA,"FCRCC","K","M","CAN",NA
"Jeffrey Yu-Sun",NA,"FLCC","K","M","CAN",NA
"Jia Kim",NA,"RCKC","K","F","CAN",NA
"Jill Esseltine",NA,"PCA","K","F","CAN",NA
"Jim Leuba",NA,"FLCC","K","M","CAN",NA
"Joanna Crocker",NA,"CCKRT","K","F","USA",NA
"Joel Girouard",NA,"YCKC","K","M","CAN",NA
"John Boulanger",NA,"NKCC","K","M","CAN",NA
"Jonas Decker",NA,"KCKC","K","M","CAN",NA
"Jonas Ecker",NA,"BYPS","K","M","USA",NA
"Jordan Carlow-Ujiie",NA,"FCRCC","K","M","CAN",NA
"Julia Demchuck",NA,"CCC","K","F","CAN",NA
"Julian Gilbrough",NA,"SCKC","K","M","USA",NA
"Julianne Girouard",NA,"YCKC","K","F","CAN",NA
"Jupiter Grant",NA,"KCKT","K","M","USA",NA
"Karen Redfern",NA,"NKCC","K","F","CAN",NA
"Kathy Nay",NA,"RCKC","K","F","CAN",NA
"Katrina Loutet",NA,"BCKC","K","F","CAN",NA
"Kaylie Resta",NA,"CCC","K","F","CAN",NA
"Keilani Robinson",NA,"PGCKC","K","F","CAN",NA
"Keisa Bleiler",NA,"FCRCC","C","F","CAN",NA
"Kelly North",NA,"GHCKRT","C","F","USA",NA
"Kenji MacMartin",NA,"FCRCC","K","M","CAN",NA
"Kieran Nott",NA,"PCA","K","M","CAN",NA
"Kierra Willis",NA,"KCKC","K","F","CAN",NA
"Kira Kishimoto",NA,"BCKC","K","F","CAN",NA
"Kristiane Free",NA,"CCC","K","F","CAN",NA
"Landon Drain",NA,"PCA","K","M","CAN",NA
"Landon McQuarrie",NA,"FLCC","C","M","CAN",NA
"Lauren Ko",NA,"BCKC","C","F","CAN",NA
"Leanne Jordan",NA,"CCKRT","K","F","USA",NA
"Leo Malmberg",NA,"CCKRT","K","M","USA",NA
"Liam Grover",NA,"KCKC","K","M","CAN",NA
"Liam Jennings",NA,"SCKC","C","M","USA",NA
"Liam Stewart",NA,"FLCC","C","M","CAN",NA
"Lily Small",NA,"RCKC","K","F","CAN",NA
"Linda Homeniuk",NA,"NKCC","K","F","CAN",NA
"Linus Fong",NA,"BCKC","K","M","CAN",NA
"Lorenzo Flynn",NA,"KCKT","K","M","USA",NA
"Lucas Fong",NA,"BCKC","K","M","CAN",NA
"Lucas Gamp",NA,"CCC","K","M","CAN",NA
"Lucas Mortensen",NA,"FCRCC","K","M","CAN",NA
"Lucas Zaldo",NA,"KCKC","K","M","CAN",NA
"Marin Phillips-Hing",NA,"FLCC","K","F","CAN",NA
"Mario DeSantis",NA,"FLCC","K","M","CAN",NA
"Markus Bruechart",NA,"FCRCC","K","M","CAN",NA
"Markus Bruechert",NA,"FCRCC","C","M","CAN",NA
"Marlie Minder",NA,"GHCKRT","K","F","USA",NA
"Marvin Bader",NA,"FCRCC","K","M","CAN",NA
"Marvin Barber",NA,"FCRCC","K","M","CAN",NA
"Matao Buist",NA,"KCKC","K","M","CAN",NA
"Matt Nuttall",NA,"NKCC","K","M","CAN",NA
"Maxim Bryuzgin",NA,"CCC","K","M","CAN",NA
"Meisi Settle",NA,"GHCKRT","C","F","USA",NA
"Melody Oh",NA,"RCKC","K","F","CAN",NA
"Mia Clark",NA,"BYPS","K","F","USA",NA
"Mia Clarke",NA,"BYPS","K","F","USA",NA
"Michael Parker",NA,"GHCKRT","K","M","USA",NA
"Mika Asano",NA,"BCKC","K","F","CAN",NA
"Mischa Grover",NA,"KCKC","C","F","CAN",NA
"Molly Spiker",NA,"BYPS","K","F","USA",NA
"Moyo Alaby",NA,"NCKC","K","F","CAN",NA
"Nathan Gaffron",NA,"NKCC","K","M","CAN",NA
