"name","age","club","boat","gender","country","type"
"Abbas Sen","2001",NA,"K","M","TUR",NA
"Abdurakhim Abdurashidov","2001",NA,"C","M","UZB",NA
"Abraham Dietz","1996",NA,"K","M","ARG",NA
"Adam Varga","1999",NA,"K","M","HUN",NA
"Adina Cale","1999",NA,"C","F","ROU",NA
"Adrian Dana","2000",NA,"K","M","ROU",NA
"Adrianna Kakol","2001",NA,"K","F","POL",NA
"Agustin Rodriguez","1998",NA,"K","M","ARG",NA
"Aigars Cirulis","2001",NA,"K","M","LAT",NA
"Ailyn Gonzalez","2003",NA,"K","F","MEX",NA
"Akos Orosz","2002",NA,"K","M","HUN",NA
"Aldis Vilde","1997",NA,"K","M","LAT",NA
"Alejandro Ramirez","1996",NA,"C","M","COL",NA
"Aleksandar Perovic","2001",NA,"K","M","SRB",NA
"Aleksandre Tsivtsivadze","2004",NA,"C","M","GEO",NA
"Aleksejs Sevcovs","2001",NA,"C","M","LAT",NA
"Alena Nazdrova","1998",NA,"C","F","BLR",NA
"Alexander Marasa","2001",NA,"C","M","POL",NA
"Alexandra Tishchenko","2002",NA,"K","F","RUS",NA
"Alexey Shishkin","2001",NA,"K","M","RUS",NA
"Ali Ahmed","1996",NA,"K","M","EGY",NA
"Aliaksandra Kalaur","2001",NA,"C","F","BLR",NA
"Alina Neumiarzhytskaya","2000",NA,"K","F","BLR",NA
"Alix Aitchison","2001",NA,"C","F","GBR",NA
"Amelia Braun","2003",NA,"C","F","POL",NA
"Amelie Geoffrin","2001",NA,"K","F","FRA",NA
"Ana Rodrigues","2000",NA,"C","F","POR",NA
"Andra Maftei","2001",NA,"K","F","ROU",NA
"Andras Redl","2001",NA,"K","M","HUN",NA
"Andrea Sgaravatto","1996",NA,"C","M","ITA",NA
"Andrew Billard","2002",NA,"C","M","CAN",NA
"Anezka Paloudova","1999",NA,"K","F","CZE",NA
"Angel Kodinov","1997",NA,"C","M","BUL",NA
"Angela Jorge","2003",NA,"C","F","ESP",NA
"Anhelina Bardanouskaya","2003",NA,"C","F","BLR",NA
"Anna Lucz","1999",NA,"K","F","HUN",NA
"Ansis Grisans","2000",NA,"C","M","LAT",NA
"Antia Otero","2003",NA,"C","F","ESP",NA
"Anton Pekut","2001",NA,"K","M","UZB",NA
"Anuar Akchurin","2000",NA,"C","M","KAZ",NA
"Anuar Almagambetov","2002",NA,"C","M","KAZ",NA
"Aoto Yabu","1996",NA,"C","M","JPN",NA
"Aphinya Sroichit","2004",NA,"C","F","THA",NA
"Arcadii Goncearov","2000",NA,"C","M","MDA",NA
"Arina Tanatmisheva","2003",NA,"K","F","UZB",NA
"Armandas Zumbys","2001",NA,"K","M","LTU",NA
"Aron Faber","2002",NA,"K","M","EST",NA
"Artur Guliev","1997",NA,"C","M","UZB",NA
"Badri Kavelashvili","1996",NA,"K","M","GEO",NA
"Balazs Adolf","1999",NA,"C","M","HUN",NA
"Barbora Betlachova","2001",NA,"K","F","CZE",NA
"Barbora Galadova","2002",NA,"K","F","CZE",NA
"Bartosz Grabowski","2000",NA,"K","M","POL",NA
"Bolette Iversen","1997",NA,"K","F","DEN",NA
"Brianna Massie","1996",NA,"K","F","AUS",NA
"Cameron Low","2001",NA,"K","M","CAN",NA
"Camilo Valdes","2003",NA,"K","M","CHI",NA
"Carla Frieiro","2001",NA,"K","F","ESP",NA
"Carlos Romero","1999",NA,"K","M","MEX",NA
"Carolina Garcia","1999",NA,"K","F","ESP",NA
"Cayetano Garcia","2001",NA,"C","M","ESP",NA
