"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aidan Denny","K1",200,"Men",48.15,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Aidan Denny","K1",1000,"Men",309.56,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Aidan Denny","K1",6000,"Men",2022.86,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Alec Denny","K1",200,"Men",51.11,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Alec Denny","K1",1000,"Men",314.06,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Alec Denny","K1",6000,"Men",2035.18,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Alec Denny; Aidan Denny","K2",1000,"Men",277.21,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Alec Denny; Aidan Denny","K2",1000,"Men",282.61,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jake Zikan","K1",200,"Men",56.21,"final","5th","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jake Zikan","K1",1000,"Men",311.26,"final","2nd","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jake Zikan","K1",2000,"Men",NA,"final","3rd","NA","Bellingham 2015",6,1,2015,"no","no time","NA","NA"
"Jake Zikan; Jerry Chen","K2",1000,"Men",298.93,"NA","NA","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jerry Chen","K1",200,"Men",48.41,"final","1st","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jerry Chen","K1",1000,"Men",308.63,"final","1st","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
"Jerry Chen","K1",2000,"Men",NA,"final","2nd","NA","Bellingham 2015",6,1,2015,"no","NA","NA","NA"
