name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Mullican,K1,1000,Men,249.305,heat,4th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Alex Lee,K1,1000,Men,242.994,heat,1st,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Alex Lee,K1,1000,Men,231.1,final,2nd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Andrew Surles,K1,1000,Men,247.795,heat,6th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Ann Armstrong,C1,500,Women,156.194,final,1st,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Ann Armstrong; Mariah Godin,C2,500,Women,139.743,final,2nd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Anna McGrory; Samantha Nelson,K2,500,Women,127.456,final,6th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Aukai Manson,K1,1000,Men,264.789,heat,6th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Evan Truesdale,K1,1000,Men,235.188,heat,2nd,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Jesse Lishchuk,K1,1000,Men,245.65,heat,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Jesse Lishchuk,K1,1000,Men,248.743,final,8th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Jessica Norton,K1,500,Women,162.368,heat,7th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Kai Poecher,C1,1000,Men,314.371,heat,7th,U16,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Kaitlyn McElroy,K1,500,Women,118.689,heat,2nd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Kyle Field,K1,1000,Men,250.93,heat,4th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Kyle Field; Andrew Surles,K2,1000,Men,241.482,heat,4th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Kyle Field; Andrew Surles,K2,1000,Men,232.037,final,9th,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Miles Cross-Whiter; Alex Lee,K2,1000,Men,211.797,heat,2nd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Miles Cross-Whiter; Nate Errez; Alex Lee; Jesse Lishchuk,K4,500,Men,88.708,final,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Nate Errez,K1,1000,Men,248.58,heat,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Nate Errez,K1,1000,Men,237.312,final,6th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Nate Errez; Jesse Lishchuk,K2,1000,Men,215.899,heat,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Owen Farley-Klacik; Evan Truesdale,K2,1000,Men,223.766,heat,1st,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Owen Farley-Klacik; Evan Truesdale,K2,1000,Men,219.101,final,2nd,U18,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Owen Farley-Klacik; Kyle Field; Andrew Surles; Evan Truesdale,K4,500,Men,91.59,final,6th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Samantha Barlow,K1,500,Women,117.981,heat,1st,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Samantha Barlow; Kaitlyn McElroy,K2,500,Women,116.022,final,1st,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Samantha Nelson,K1,500,Women,133.653,heat,5th,U16,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Stanton Collins; Thomas Crockett; Aukai Manson; Aaron Mullican,K4,500,Men,89.534,final,5th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Stanton Collins; Thomas Crockett; Jesse Lishchuk; Aaron Mullican,K4,1000,Men,190.007,final,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Thomas Crockett,K1,1000,Men,249.06,heat,3rd,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Thomas Crockett,K1,1000,Men,240.944,final,7th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
Thomas Crockett; Aukai Manson,K2,1000,Men,221.783,heat,7th,Open,Canada Cup East 2018,7,1,2018,yes,NA,NA,NA
