name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Alysson Moris,K1,200,Women,48.74,final,3rd,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,4000,Women,987.19,final,2nd,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,1000,Women,300.14,heat,1st,U16,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,500,Women,137.7,heat,2nd,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,200,Women,52.32,heat,2nd,U16,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,1000,Women,301.72,final,2nd,U16,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,500,Women,143.92,final A,3rd,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen,K1,200,Women,55.28,final,2nd,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Audrey Thiessen; Reagan Liles,K2,500,Women,138.27,heat,1st,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Brice Anderson,C1,1000,Men,308.84,final,5th,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Brice Anderson,C1,500,Men,136.08,final,7th,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Brice Anderson; Camden Sexton,C2,200,Men,45.41,final,3rd,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Brice Anderson; Camden Sexton,C2,1000,Men,261.88,final,1st,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Brice Anderson; Camden Sexton,C2,500,Men,125.03,final,1st,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Camden Sexton,C1,200,Men,49.04,final,2nd,U17,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Camden Sexton,C1,500,Men,130.92,final,5th,Open,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Camden Sexton,C1,1000,Men,276.34,final,4th,U17,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Camden Sexton,C1,6000,Men,1239.92,final,4th,U17,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
Chloe McFeeters,K1,4000,Women,1198.98,final,18th,U15,Canada Cup West 2018,7,1,2018,yes,NA,NA,NA
