"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Alec Wilson","K1",200,"Men",63.45,"final","7th","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Alec Wilson","K1",200,"Men",58.84,"heat","2nd","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Andrew Surles","K1",200,"Men",62.71,"final","6th","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Andrew Surles","K1",200,"Men",57.61,"heat","4th","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Andrew Surles; Walker Peck","K2",200,"Men",55.78,"final","4th","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Drew Deppe","K1",200,"Men",56.24,"final","3rd","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Drew Deppe","K1",200,"Men",50.93,"heat","2nd","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Ethan Skarda","K1",200,"Men",57.2,"final","1st","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Kaley Martin","C1",200,"Men",92.83,"final","NA","NA","LCKC Halloween Howl 2014",10,31,2014,"no","NA","NA","NA"
"Owen Farley-Klacik","K1",200,"Men",46.32,"final","1st","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Owen Farley-Klacik","K1",200,"Men",47.1,"heat","1st","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Owen Ozaki","K1",200,"Men",54.35,"final","2nd","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Owen Ozaki","K1",200,"Men",52.7,"heat","1st","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Walker Peck","K1",200,"Men",61.44,"final","5th","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
"Walker Peck","K1",200,"Men",62.51,"heat","3rd","NA","LCKC Halloween Howl 2014",10,25,2014,"no","NA","NA","NA"
