"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Alec Wilson","K1",200,"Men",62.08,"final","7th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Alec Wilson","K1",500,"Men",162.04,"final","7th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Andrew Surles","K1",500,"Men",165.08,"final","8th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Clay Baker","K1",200,"Men",46.01,"final","2nd","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Clay Baker","K1",500,"Men",121,"final","2nd","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Donovan Gervasoni","K1",200,"Men",57.01,"final","NA","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Donovan Gervasoni","K1",500,"Men",143.06,"final","NA","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Kalen Oliveira","K1",200,"Men",62,"final","1st","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Kalen Oliveira","K1",500,"Men",148,"final","1st","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Owen Farley-Klacik","K1",200,"Men",42.09,"final","1st","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Owen Farley-Klacik","K1",500,"Men",116.03,"final","1st","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Owen Ozaki","K1",200,"Men",52.1,"final","4th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Owen Ozaki","K1",500,"Men",134.04,"final","4th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Tucker Goetz","K1",500,"Men",177.06,"final","9th","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Walker Peck","K1",200,"Men",69.02,"final","2nd","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
"Walker Peck","K1",500,"Men",166.06,"final","2nd","NA","LCKC Spr Sprints 2014",5,10,2014,"no","NA","NA","NA"
