"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Jonathan Barnato","K1",2000,"Men",557,"final","1","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Jake Zikan","K1",2000,"Men",584,"final","3","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Ashby Bodine","K1",2000,"Men",603,"final","5","NA","Race for the Cookies 2018",3,31,2018,"no","with turn; 5th overall; 1st juvie","NA","NA"
"Aaron Small","K1",2000,"Men",608,"final","6","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Liam Jennings","K1",2000,"Men",612,"final","7","NA","Race for the Cookies 2018",3,31,2018,"no","2nd juvie; with turn","NA","NA"
"Holm Schmidt","K1",2000,"Men",623,"final","8","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Dylan Boeholt","K1",2000,"Men",632,"final","10","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Ethan Vasquez","K1",2000,"Men",636,"final","11","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Steve Small","K1",2000,"Men",645,"final","12","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Abby Scoggins","K1",2000,"Women",655,"final","13","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Wilson Reavley","K1",2000,"Men",661,"final","14","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Leana Girton","K1",2000,"Women",683,"final","15","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Frankie Kelley","K1",2000,"Women",688,"final","16","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Elizabeth Holmes","K1",2000,"Women",717,"final","19","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Owen White","K1",2000,"Men",748,"final","","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Owen Jennings","K1",2000,"Men",764,"final","","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Ronan Nopp","K1",2000,"Men",766,"final","","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
"Ella Bloomquist","K1",2000,"Women",790,"final","","NA","Race for the Cookies 2018",3,31,2018,"no","with turn","NA","NA"
