name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Ashby Bodine,K1,2000,Men,538.6,final,1,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ryan Wurts,K1,2000,Men,562.8,final,2,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Vaughn Schenk,K1,2000,Men,582.9,final,3,NA,Race for the Cookies 2019,3,30,2019,no,with turn; 5th overall; 1st juvie,NA,NA
Jackson Plymale,K1,2000,Men,585.8,final,4,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ryan Grady,C1,2000,Men,613.8,final,5,NA,Race for the Cookies 2019,3,30,2019,no,2nd juvie; with turn,NA,NA
Liam Jennings,K1,2000,Men,623,final,6,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Abby Scoggins,K1,2000,Women,635.6,final,7,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Kenny Kasperbauer,C1,2000,Men,657,final,8,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Shane Meek,K1,2000,Men,657.3,final,9,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Trisha Martinson,K1,2000,Women,662.8,final,10,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Frankie Kelley,K1,2000,Women,665.8,final,11,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Zoe Libner,K1,2000,Women,670.03,final,12,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Owen White,K1,2000,Men,674.5,final,13,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Drake Dalumpines,C1,2000,Men,681.5,final,14,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Drew Huston,C1,2000,Men,692.5,final,15,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Aaron Laird,K1,2000,Men,694,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Lia Gaetano,C1,2000,Women,696.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Raegan Laird,K1,2000,Women,697.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Mia Clarke,K1,2000,Women,697.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Peyton Kusche,K1,2000,Men,699.5,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Elizabeth Holmes,K1,2000,Women,702,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Jupiter Grant,K1,2000,Men,702.3,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Benji Blanck,C1,2000,Men,705.3,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Audrey Hale,K1,2000,Women,707.3,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Kole Harkabus,K1,2000,Men,710.8,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Aurora Ohr,K1,2000,Women,726.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ellie Scoggins,K1,2000,Women,733.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Weston Hester,C1,2000,Men,740.5,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Andreea Ghizila,C1,2000,Women,745.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Noah Larsen,K1,2000,Men,750.3,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Owen Jennings,K1,2000,Men,757.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Molly Spilker,K1,2000,Women,760.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Nandu Thanaraiselvam,K1,2000,Men,788.5,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Gannon Erickson,K1,2000,Men,795.2,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Preston Albertsen,K1,2000,Men,801.8,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Leo Ciuca,K1,2000,Men,803.5,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ryan Lee,K1,2000,Men,806,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Stella DeSantis,C1,2000,Women,832.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Grant Huston,C1,2000,Men,882.9,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ellanora Tsong,K1,2000,Women,911.4,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Emmalina Tsong,K1,2000,Women,885.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Aadhadvan Nandakumar,K1,2000,Men,923.9,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ryan Blanck,K1,2000,Men,940.3,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Conner Neil,K1,2000,Men,972.6,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Ella Blanck,K1,2000,Women,995.2,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Connor Peterson,C1,2000,Men,1011.9,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Kyle Peterson,K1,2000,Men,1051.5,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Cole Palmer,C1,2000,Men,1078.7,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
Calvin Huo,K1,2000,Men,1157.1,final,,NA,Race for the Cookies 2019,3,30,2019,no,with turn,NA,NA
