name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Aaron Mullican,K1,200,Men,36.15,final A,9th,U23,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Eli Holmes,K1,200,Women,57.62,final,NA,senior,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Eli Holmes,K1,500,Women,152.41,final,NA,senior,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Evan Truesdale,K1,200,Men,39.13,final,4th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Evan Truesdale,K1,500,Men,105.41,final,1st,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Evan Truesdale,K1,500,Men,111.33,heat,1st,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Evan Truesdale; Nainoa Orr,K2,500,Men,96.17,final,4th,jun/sen,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jacob Eash,K1,200,Men,44.51,final,8th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jacob Eash,K1,500,Men,117.1,final,6th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jacob Eash,K1,500,Men,125.15,heat,4th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jake Zikan,K1,200,Men,40.68,final,5th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jake Zikan,K1,500,Men,110.34,final,5th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jake Zikan,K1,500,Men,113.4,heat,3rd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jake Zikan; Kyle Field,K2,500,Men,107.56,final,6th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jasper Caddell,K1,200,Men,41.43,final,6th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jasper Caddell,K1,500,Men,109.83,final,4th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jasper Caddell,K1,500,Men,111.75,heat,2nd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jesse Lishchuk,K1,500,Men,121.77,final,9th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Jesse Lishchuk,K1,500,Men,104.44,heat,3rd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Kyle Field,K1,200,Men,37.95,final,1st,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Kyle Field,K1,500,Men,106.99,final,2nd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Kyle Field,K1,500,Men,113.74,heat,4th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nainoa Orr,K1,200,Men,38.59,final,3rd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nainoa Orr,K1,500,Men,108.69,final,3rd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nainoa Orr,K1,500,Men,110.49,heat,2nd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nate Errez,K1,200,Men,36.95,final B,2nd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nate Errez,K1,500,Men,110.22,final,8th,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nate Errez,K1,500,Men,100.88,heat,3rd,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Nate Errez; Thom Crockett,K2,500,Men,93.68,NA,NA,NA,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Stanton Collins,K1,200,Men,35.55,final A,8th,U23,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Thom Crockett,K1,200,Men,38.31,final B,3rd,U23,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Tim Burdiak,K1,200,Men,38.67,final B,4th,U23,Silver Blade 2018,4,7,2018,no,NA,NA,NA
Zachary Alva,K1,200,Men,40.5,final B,6th,U23,Silver Blade 2018,4,7,2018,no,NA,NA,NA
