name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Angela Wang,C1,200,Women,59.39,final,1st,NA,Slawko 2012,5,19,2012,yes,NA,NA,NA
Angela Wang,C1,500,Women,159.61,final,1st,NA,Slawko 2012,5,19,2012,yes,NA,NA,NA
Azusa Murphy,C1,200,Women,70.48,final,4th,NA,Slawko 2012,5,19,2012,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,192.72,final,1st,NA,Slawko 2012,5,19,2012,yes,NA,NA,NA
Azusa Murphy,C1,500,Women,195.92,final,6th,open,Slawko 2012,5,19,2012,yes,racing up,NA,NA
Henry Hilt,K1,200,Men,49.75,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Henry Hilt,K1,200,Men,51.93,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Henry Hilt,K1,500,Men,136.46,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Henry Hilt,K1,500,Men,139.45,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Henry Hilt; Miles Cross-Whiter,K2,200,Men,42.57,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Kyle Field,K1,500,Men,146.65,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Kyle Field,K1,500,Men,147.56,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Makenzie Soiusley,C1,500,Women,165.78,final,2nd,NA,Slawko 2012,5,19,2012,yes,NA,NA,NA
Michael Weyna,K1,200,Men,45.93,final,3rd,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Michael Weyna,K1,200,Men,46.14,heat,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Michael Weyna,K1,500,Men,121.28,final,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Michael Weyna,K1,500,Men,120.34,heat,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,49.09,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Miles Cross-Whiter,K1,200,Men,50.05,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,129.17,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Miles Cross-Whiter,K1,500,Men,134.74,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
Nate Errez,K1,200,Men,59.2,final,5th,bantam,Slawko 2012,5,1,2012,yes,NA,NA,NA
Nate Errez,K1,200,Men,58.36,heat,NA,bantam,Slawko 2012,5,1,2012,yes,NA,NA,NA
Nate Errez; Other,K2,200,Men,67.41,NA,NA,NA,Slawko 2012,5,1,2012,yes,NA,NA,NA
