"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Aaron Small","K1",200,"Men",47.48,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Aaron Small","K1",200,"Men",50.04,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Aaron Small","K1",500,"Men",141.58,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Aaron Small","K1",500,"Men",141.6,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Aaron Small; Jerry Chen","K2",200,"Men",47.2,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Aaron Small; Jerry Chen","K2",500,"Men",129.84,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Alec Denny","K1",200,"Men",49.86,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Jerry Chen","K1",200,"Men",52.06,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Jerry Chen","K1",200,"Men",54.53,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Jerry Chen","K1",500,"Men",148.73,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Jerry Chen","K1",500,"Men",159.64,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Jerry Chen; Alec Denny","K2",200,"Men",49.04,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Liam Jennings","K1",200,"Men",61.73,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Liam Jennings","K1",200,"Men",63.69,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Liam Jennings","K1",500,"Men",165.83,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Liam Jennings","K1",500,"Men",168.24,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Liam Jennings; Other","K2",200,"Men",67.45,"NA","NA","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
"Naomi Prahl","C1",500,"Women",397.5,"final","4th","NA","Slawko 2015",5,19,2015,"yes","NA","NA","NA"
