"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Alec Wilson","K1",200,"Men",55.7,"final","4th","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Alec Wilson","K1",200,"Men",54.39,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Alec Wilson","K1",500,"Men",137.49,"final","4th","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Alec Wilson","K1",500,"Men",138.19,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Andrew Surles","K1",200,"Men",58.24,"final","6th","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Andrew Surles","K1",200,"Men",58.18,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Andrew Surles","K1",500,"Men",144.46,"final","6th","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Andrew Surles","K1",500,"Men",144.63,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Ethan Skarda","K1",200,"Men",51.38,"final","2nd","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Ethan Skarda","K1",200,"Men",49.9,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Ethan Skarda","K1",500,"Men",134.56,"final","2nd","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Ethan Skarda","K1",500,"Men",135.16,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Jackson Hickerson","K1",200,"Men",70.18,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Jackson Hickerson","K1",500,"Men",174.5,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Kalen Oliveira","K1",200,"Men",54.28,"final","3rd","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Kalen Oliveira","K1",200,"Men",57.6,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Kalen Oliveira","K1",500,"Men",135.22,"final","3rd","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Kalen Oliveira","K1",500,"Men",137.48,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Kaley Martin","C1",200,"Men",73.17,"final","NA","NA","Southern Invit 2015",7,11,2015,"yes","NA","NA","NA"
"Owen Farley-Klacik","K1",200,"Men",44.3,"final","1st","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Owen Farley-Klacik","K1",500,"Men",119.17,"final","1st","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Owen Ozaki","K1",200,"Men",48.11,"final","1st","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Owen Ozaki","K1",200,"Men",48.92,"final","2nd","junior","Southern Invit 2015",6,13,2015,"yes","racing up","NA","NA"
"Owen Ozaki","K1",200,"Men",46.35,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Owen Ozaki","K1",500,"Men",123,"final","2nd","junior","Southern Invit 2015",6,13,2015,"yes","racing up","NA","NA"
"Owen Ozaki","K1",500,"Men",128.31,"final","1st","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
"Owen Ozaki","K1",500,"Men",125.74,"heat","NA","NA","Southern Invit 2015",6,13,2015,"yes","NA","NA","NA"
